fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,912130332,Bursera kerberi,20.882778,-103.836667,8,1886,23.44167,18.21667,63.69464,286.41858,37.4,8.8,28.6,25.86667,22.83333,26.6,19.61667,821,222,2,120.6672,580,13,177,35,1202
2,912130297,Bursera kerberi,18.19,-100.94,4,1937,26.72083,14.15833,69.74548,140.68759,37.2,16.9,20.3,26.08333,27.3,28.81667,25.48333,1122,267,2,118.54815,775,9,217,27,523
3,912130295,Bursera kerberi,21.1,-103.41,11,1962,24.05,18.08333,62.57209,292.76114,38,9.1,28.9,26.33333,23.6,27.46667,20.2,820,221,2,121.14656,581,11,179,32,1116
4,912130291,Bursera kerberi,18.808889,-100.14,12,1934,23.4375,16.19167,65.28898,190.78934,36.1,11.3,24.8,24.01667,24.01667,26.1,21.28333,1251,261,4,110.18855,775,18,317,24,1048
5,912130290,Bursera kerberi,19.009167,-100.288889,6,1934,23.02083,16.175,64.18651,202.4785,36,10.8,25.2,22.86667,23.61667,25.88333,20.78333,1221,256,5,110.02469,758,18,296,27,1065
6,912130289,Bursera kerberi,18.078611,-101.156389,8,1936,24.55833,14.96667,69.6124,153.56126,35.5,14,21.5,24.36667,25,26.78333,22.88333,1127,271,2,115.87325,757,8,226,24,1093
7,912130282,Bursera kerberi,18.776944,-103.16,10,1938,22.60833,14.6,68.5446,160.72046,32.8,11.5,21.3,23.63333,21.91667,24.31667,20.35,1198,254,4,101.69287,701,25,487,47,1035
8,912130280,Bursera kerberi,19.245,-102.053611,10,1962,22.8375,16.09167,67.61205,174.6051,34.7,10.9,23.8,23.36667,22.56667,25.05,20.58333,884,215,4,112.54685,575,13,189,29,937
9,912130278,Bursera kerberi,18.331667,-100.74,7,1936,28.0375,14.875,66.40626,182.60892,39.6,17.2,22.4,27.25,29,30.68333,26.36667,990,237,2,119.36079,671,8,214,28,342
10,912130274,Bursera kerberi,19.76,-104.43,11,1962,20.91667,15.2,66.96035,210.78139,31.5,8.8,22.7,22.73333,19.55,23.01667,18.06667,1037,246,3,111.37905,690,19,644,54,1151
11,912130271,Bursera kerberi,18.229722,-100.91,11,1936,27.2125,14.69167,68.97496,150.16847,38.1,16.8,21.3,26.6,27.83333,29.41667,25.81667,1060,260,1,118.68679,732,7,206,26,406
12,912130263,Bursera kerberi,18.868056,-100.288889,1,1935,21.41667,14.66667,65.47619,170.85789,33.2,10.8,22.4,21.23333,21.98333,23.81667,19.53333,1254,263,6,106.21998,756,20,301,30,1364
13,912130251,Bursera kerberi,18.884445,-100.28,5,1933,21.69167,15.23333,64.27567,187.49345,34,10.3,23.7,21.63333,22.21667,24.3,19.55,1254,264,5,108.56476,773,19,304,28,1291
14,912130249,Bursera kerberi,19.043333,-100.041389,6,1932,17.4875,14.525,69.4976,142.62355,28.2,7.3,20.9,17.7,17.83333,19.33333,15.71667,1159,228,7,100.84483,670,28,306,32,1802
15,912129856,Bursera kerberi,19.53,-103.31,12,1959,21.5125,16.09167,65.41328,208.8075,33.2,8.6,24.6,22.91667,20.53333,23.73333,18.6,986,216,2,108.56062,618,11,422,47,1296
16,912129847,Bursera kerberi,21.06,-104.51,6,1957,22.13333,17.43333,64.80793,247.47208,35,8.1,26.9,24.53333,22.66667,24.7,18.76667,1012,295,2,123.15218,705,15,485,48,1038
17,912129844,Bursera kerberi,19.770278,-104.39,7,1949,22.57083,16.425,67.31557,217.01967,34,9.6,24.4,24.35,21.28333,24.75,19.6,1076,247,3,111.42667,713,19,436,50,941
18,912129839,Bursera kerberi,18.872778,-100.27,1,1935,21.93333,15.05,64.87069,180.02945,34.1,10.9,23.2,21.75,22.51667,24.46667,19.95,1271,268,6,107.91248,779,20,307,30,1281
19,912129838,Bursera kerberi,19.67,-104.25,9,1960,20.62917,15.35833,64.80309,223.06194,31.9,8.2,23.7,22.35,19.41667,22.9,17.56667,1016,240,3,109.92426,665,19,427,59,1221
20,912129833,Bursera kerberi,21.085833,-104.577778,8,1990,22.90417,17.29167,65.00626,256.67859,35.5,8.9,26.6,25.41667,23.28333,25.48333,19.4,954,271,2,120.35594,654,13,444,57,869
21,912129829,Bursera kerberi,19.85,-104.28,6,1949,22.4875,17.175,66.31274,229.07051,34.7,8.8,25.9,24.2,21.26667,24.85,19.35,909,217,3,111.75992,594,19,398,42,982
22,912129826,Bursera kerberi,18.124167,-101.038056,5,1937,23.03333,13.8,67.98029,156.63121,33.5,13.2,20.3,22.95,23.51667,25.25,21.25,1173,270,2,113.07455,768,10,243,30,1335
23,912129825,Bursera kerberi,20.178611,-103.18,6,1957,19.65833,11.51667,59.98264,234.53856,29,9.8,19.2,21.71667,18.86667,22.1,16.38333,774,196,3,114.31676,517,14,386,33,1518
24,912129824,Bursera kerberi,19.025,-99.909167,5,1935,12.07917,13.75833,71.2867,156.10979,21.1,1.8,19.3,13.23333,9.85,13.55,9.85,1307,252,11,94.41927,732,41,587,41,2861
25,912129817,Bursera kerberi,19.53,-103.3,6,1957,21.1125,15.775,65.72917,204.66296,32.6,8.6,24,22.46667,20.16667,23.3,18.26667,976,216,2,108.88683,613,11,421,46,1395
26,5103623957,Bursera kerberi,21.071692,-104.419676,6,1972,22.43333,18.15,64.82143,247.45369,36,8,28,24.73333,21.35,25.08333,19.06667,993,288,2,122.25641,693,15,478,48,1075
27,5101889057,Bursera kerberi,20.866278,-103.247161,6,1997,19.77917,17.94167,63.17488,269.23682,33.7,5.3,28.4,21.98333,19.16667,22.76667,16.21667,872,236,3,119.42242,607,13,195,31,1647
28,5101867553,Bursera kerberi,20.8,-103.466667,8,1968,20.22083,18.40833,63.25888,260.98987,34.6,5.5,29.1,22.18333,19.91667,23.25,16.83333,807,212,2,116.93127,554,15,179,32,1593
29,5101849476,Bursera kerberi,19.183333,-102.833333,10,1979,27.30417,15.40833,70.03787,158.89474,38.4,16.4,22,28.45,26.96667,29.26667,25.16667,683,160,1,109.74921,433,10,149,29,362
30,5101807896,Bursera kerberi,20.800278,-103.380278,9,2006,20.9125,17.275,63.74538,260.35922,34.2,7.1,27.1,23.01667,20.36667,23.78333,17.43333,842,228,2,121.15141,595,13,188,29,1535
31,5101764276,Bursera kerberi,20.720859,-103.392345,8,1967,20.625,17.5,64.81481,262.76935,33.7,6.7,27,22.85,19.93333,23.4,17.05,898,236,3,118.59048,619,14,432,32,1577
