fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,912130377,Bursera multijuga,21.68,-102.93,8,1960,20.98333,19.15,64.47812,315.55383,35.1,5.4,29.7,23.93333,19.85,24.5,16.76667,632,178,2,115.98424,431,13,298,37,1441
2,912130371,Bursera multijuga,21.086111,-104.56,7,1957,22.25833,16.9,65,250.8244,34.6,8.6,26,24.3,22.63333,24.76667,18.83333,999,288,2,121.64356,689,14,470,54,954
3,912130370,Bursera multijuga,18.790556,-103.16,9,1938,22.4375,14.475,68.60189,160.14375,32.5,11.4,21.1,23.86667,21.75,24.13333,20.2,1210,258,4,101.0948,706,26,491,49,1061
4,912130365,Bursera multijuga,21.373889,-104.9,8,1957,20.82917,16.34167,65.10624,258.27628,32.5,7.4,25.1,23.41667,20.5,23.58333,17.48333,1280,351,2,124.95773,943,13,846,65,1037
5,912130361,Bursera multijuga,21.519167,-105.05,9,1960,21.03333,14.56667,68.71069,246.07217,30.2,9,21.2,23.76667,20.13333,23.76667,18.05,1372,360,1,124.54712,1023,12,1023,77,934
6,912130348,Bursera multijuga,21.100556,-102.82,8,1958,19.4125,18.95833,63.4058,294.07114,33.6,3.7,29.9,22,18.6,22.65,15.5,783,217,2,119.88905,547,13,385,30,1637
7,912130344,Bursera multijuga,20.399722,-103.079444,10,1889,20.0375,15.525,61.60715,251.26157,32.6,7.4,25.2,21.96667,19.63333,22.9,16.66667,854,231,3,119.16689,591,14,200,30,1574
8,912130343,Bursera multijuga,20.676389,-103.346111,7,1902,21.275,17.31667,65.84283,260.76373,33.9,7.6,26.3,23.53333,20.41667,23.96667,17.68333,944,247,4,118.36776,647,15,453,33,1550
9,912130339,Bursera multijuga,20.999722,-104.48,7,1957,18.73333,15.85,65.22634,221.42444,30.5,6.2,24.3,20.5,17.53333,21.01667,15.73333,1131,285,3,113.43011,743,20,508,59,1566
10,912130324,Bursera multijuga,20.882778,-103.836667,7,1899,23.44167,18.21667,63.69464,286.41858,37.4,8.8,28.6,25.86667,22.83333,26.6,19.61667,821,222,2,120.6672,580,13,177,35,1202
11,912130322,Bursera multijuga,20.466111,-102.924444,5,1893,20.2375,16.55833,62.48428,250.55505,33.3,6.8,26.5,22.13333,19.85,23.13333,16.9,830,228,2,119.49085,577,13,192,30,1542
12,5101882402,Bursera multijuga,20.466667,-102.916667,9,1987,20.025,16.53333,62.38994,249.76807,33.1,6.6,26.5,21.93333,19.63333,22.91667,16.71667,836,231,2,119.85825,582,13,193,29,1595
13,5101879308,Bursera multijuga,20.286436,-103.34901,5,1990,19.39583,12.70833,61.99187,231.0004,29.2,8.7,20.5,21.48333,18.5,21.81667,16.2,806,210,3,116.59145,542,13,392,30,1530
14,5101852737,Bursera multijuga,21.056674,-104.48098,6,1992,22.64583,18.15833,64.8512,253.54269,36.1,8.1,28,25.06667,23.3,25.31667,19.18333,990,289,2,122.53881,687,15,475,49,1005
15,5101847475,Bursera multijuga,20.416667,-103.383333,5,1987,19.58333,16.31667,61.11111,267.35516,33,6.3,26.7,21.71667,19.2,22.65,16.05,850,225,3,118.3895,583,14,194,32,1556
16,5101844700,Bursera multijuga,20.766667,-103.383333,8,1991,20.825,17.35,63.78677,262.87311,34.1,6.9,27.2,23,20.2,23.66667,17.3,861,231,3,120.26313,604,14,420,31,1531
17,5101797805,Bursera multijuga,23.474616,-104.365707,8,1981,17.84167,16.38333,62.05808,332.44162,30.6,4.2,26.4,20.45,18.68333,21.55,13.45,495,119,3,103.39172,322,15,189,51,1796
18,5101794140,Bursera multijuga,20.68975,-103.223175,5,1996,21.325,17.51667,62.55952,277.67297,34.9,6.9,28,23.53333,20.88333,24.43333,17.61667,849,234,3,122.15052,601,11,189,26,1375
19,5101791983,Bursera multijuga,20.672251,-103.374845,6,1992,21.0375,17.225,65.99617,259.09918,33.6,7.5,26.1,23.28333,20.16667,23.73333,17.46667,946,247,4,118.5263,649,14,453,32,1573
20,5101769437,Bursera multijuga,20.683917,-103.200397,6,2007,21.32083,17.675,62.45583,278.87323,35,6.7,28.3,23.51667,20.9,24.45,17.6,848,234,3,121.87386,599,11,188,27,1365
21,5101764565,Bursera multijuga,20.842222,-102.925,5,2008,20.82083,18.09167,62.60092,286.70908,34.7,5.8,28.9,23.16667,20.3,23.98333,17.01667,836,231,2,120.99652,590,12,188,29,1380
22,5101742568,Bursera multijuga,20.913905,-103.724297,11,1993,25.60417,17.825,62.32517,297.26373,39.5,10.9,28.6,28.01667,25.05,28.95,21.63333,864,239,2,122.93432,618,10,180,34,796
23,5101739235,Bursera multijuga,21.04612,-104.051804,10,1977,23.14167,17.43333,64.09314,261.09763,36.6,9.4,27.2,25.38333,22.53333,26.05,19.68333,849,240,2,123.98289,613,12,182,37,1313
24,5101732866,Bursera multijuga,21.625,-102.975,6,1957,20.77083,18.775,64.0785,313.30685,34.7,5.4,29.3,23.66667,19.7,24.25,16.58333,651,185,2,116.67509,446,13,311,37,1494
