fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,912130407,Bursera ovalifolia,18.960556,-100.543889,5,1935,27.02083,16.65833,63.82503,218.5329,40.2,14.1,26.1,26.51667,27.85,30.2,24.76667,1013,232,2,115.72918,658,10,232,19,503
2,912130403,Bursera ovalifolia,18.887222,-100.191389,5,1935,19.80833,14.5,67.44186,150.67776,31.6,10.1,21.5,19.35,20.61667,21.93333,18.4,1146,237,5,105.20652,678,22,300,45,1639
3,912130401,Bursera ovalifolia,19.009167,-100.288889,2,1935,23.02083,16.175,64.18651,202.4785,36,10.8,25.2,22.86667,23.61667,25.88333,20.78333,1221,256,5,110.02469,758,18,296,27,1065
4,912130398,Bursera ovalifolia,19.043333,-100.041389,6,1933,17.4875,14.525,69.4976,142.62355,28.2,7.3,20.9,17.7,17.83333,19.33333,15.71667,1159,228,7,100.84483,670,28,306,32,1802
5,912130392,Bursera ovalifolia,18.905833,-100.152778,12,1934,21.275,14.96667,64.79076,178.9426,33.4,10.3,23.1,21.31667,21.8,23.71667,19.2,1225,258,5,107.04395,741,21,306,26,1334
6,912130388,Bursera ovalifolia,18.909444,-100.445556,6,1934,22.74583,15.325,63.85417,201.11572,35.1,11.1,24,22.76667,23.18333,25.53333,20.4,1251,270,4,112.42842,797,17,288,25,1062
7,912130386,Bursera ovalifolia,17.975556,-101.600556,9,1937,24.825,12.25,76.56251,92.60128,32.6,16.6,16,25.41667,24.23333,25.91667,23.61667,983,266,1,117.28967,658,5,372,31,472
8,912130376,Bursera ovalifolia,19.466945,-101.944722,10,1904,18.175,15.45,66.02564,207.44659,29.1,5.7,23.4,19.46667,17.6,20.35,15.28333,952,227,4,110.08533,619,17,425,38,1729
9,912130368,Bursera ovalifolia,18.776944,-103.16,9,1938,22.60833,14.6,68.5446,160.72046,32.8,11.5,21.3,23.63333,21.91667,24.31667,20.35,1198,254,4,101.69287,701,25,487,47,1035
10,912130364,Bursera ovalifolia,18.235278,-100.901111,4,1937,27.3125,14.80833,68.87597,152.36208,38.3,16.8,21.5,26.7,27.95,29.55,25.9,1049,257,1,119.20837,726,7,206,24,397
11,912130359,Bursera ovalifolia,18.872778,-100.27,1,1935,21.93333,15.05,64.87069,180.02945,34.1,10.9,23.2,21.75,22.51667,24.46667,19.95,1271,268,6,107.91248,779,20,307,30,1281
12,912130355,Bursera ovalifolia,17.690556,-101.088889,10,1937,24.37917,11.44167,76.27778,83.62411,31.5,16.5,15,24.78333,24.08333,25.25,23.2,1551,398,2,114.62966,997,14,305,29,520
13,912130329,Bursera ovalifolia,18.891667,-100.233333,6,1932,22.4375,15.70833,64.11565,192.27258,35.2,10.7,24.5,22.25,23.05,25.15,20.33333,1316,278,6,108.86438,813,21,320,31,1156
