fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,912129921,Bursera biflora,17.878889,-97.090833,10,1990,22.525,15.56667,65.40617,238.83713,34.1,10.3,23.8,24.05,20.78333,25.33333,19.4,983,185,13,90.086,532,45,272,49,1450
2,912129914,Bursera biflora,18.461944,-97.39,9,1905,20.375,15.36667,67.10335,219.95351,31.6,8.7,22.9,21.38333,18.68333,22.88333,17.45,641,135,6,87.03613,311,30,212,30,1628
3,912129909,Bursera biflora,18.461944,-97.392778,8,1897,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
4,5101894447,Bursera biflora,19.208446,-96.824427,4,1978,21.29583,11.175,61.74033,221.14844,30.3,12.2,18.1,23,20.8,23.6,18.2,1327,241,31,79.67122,666,103,366,113,843
5,5101881726,Bursera biflora,17.318097,-96.498478,7,1979,18.7375,13.45833,64.39394,180.35475,29.4,8.5,20.9,18.98333,17.88333,21.01667,16.46667,1376,252,20,81.11932,699,66,361,129,1801
6,5101879363,Bursera biflora,17.5,-96.916667,10,1978,16.24583,12.30833,66.17384,158.6084,25.9,7.3,18.6,16.78333,15.48333,18.3,14.3,667,144,6,93.76701,370,18,222,32,2214
7,5101870979,Bursera biflora,18.333333,-97.433333,5,1979,21.45417,15.25833,66.92251,220.1906,32.7,9.9,22.8,22.8,18.5,24,18.5,507,115,4,94.66751,260,19,179,19,1541
8,5101824586,Bursera biflora,20.332278,-98.006398,6,1978,20.82083,10.775,57.01058,268.84821,29.9,11,18.9,22.68333,17.98333,23.58333,17.1,2260,444,52,78.86645,1175,159,841,162,591
9,5101821872,Bursera biflora,18.37932,-97.578052,6,1978,18.19167,14.48333,68.31761,182.99074,28.9,7.7,21.2,19.13333,15.78333,20.33333,15.78333,532,118,6,86.46964,251,23,205,23,1885
10,5101820106,Bursera biflora,18.477861,-97.566889,6,2009,17.175,14.6,67.59259,198.45424,28,6.4,21.6,18.95,14.56667,19.43333,14.55,513,112,4,87.39207,244,20,205,24,1946
11,5101802405,Bursera biflora,18.154609,-97.421104,11,2002,18.36667,14.18333,67.21959,189.42897,29.1,8,21.1,19.31667,17.11667,20.7,15.95,551,123,6,86.84835,277,24,205,31,1984
12,5101780523,Bursera biflora,17.422981,-96.821924,8,1978,21.78333,14.93333,64.36782,221.77316,33.3,10.1,23.2,23.05,20.28333,24.43333,18.9,933,174,12,86.65784,500,46,274,60,1324
13,5101772515,Bursera biflora,18.226272,-97.487773,10,1978,19.59167,14.6,66.66666,207.99733,30.6,8.7,21.9,20.76667,18.08333,22.05,16.86667,517,117,6,86.65211,258,24,192,24,1815
14,5101761736,Bursera biflora,17.9,-96.966667,6,1978,25.125,15.05,63.2353,248.49086,37.1,13.3,23.8,25.96667,23.13333,28.16667,21.88333,701,144,7,96.78506,403,25,194,26,644
15,5101744575,Bursera biflora,18.377653,-97.459439,7,1978,18.15,14.03333,67.14513,194.41054,28.7,7.8,20.9,19.26667,15.61667,20.43333,15.61667,519,106,6,81.94233,236,26,196,26,1918
16,5101736828,Bursera biflora,18.4,-97.433333,6,1978,20.14167,15.01667,66.44543,214.73909,31.3,8.7,22.6,21.48333,17.28333,22.63333,17.28333,566,122,5,89.48087,284,24,200,24,1673
17,5101732658,Bursera biflora,17.302848,-96.502717,7,1978,20.05,14.51667,64.80655,196.08672,31.3,8.9,22.4,20.96667,18.93333,22.46667,17.51667,1061,185,12,80.5282,547,59,302,82,1582
18,5101730280,Bursera biflora,18.127122,-97.065997,6,1978,23.90417,18.59167,70.15723,240.39229,37,10.5,26.5,24.63333,22.16667,26.83333,20.78333,949,179,15,87.38699,515,51,254,54,1106
19,5101727273,Bursera biflora,18.552645,-97.441383,6,1978,18.22917,14.99167,66.62963,202.63557,29.5,7,22.5,19.43333,15.61667,20.65,15.6,601,121,8,83.51537,283,28,215,37,1817
20,5101686787,Bursera biflora,17.585833,-96.949167,7,1977,22.075,14.38333,64.78979,213.92967,33,10.8,22.2,23.31667,19.3,24.65,19.3,997,187,13,90.02797,542,42,285,42,1515
21,5101657284,Bursera biflora,17.65,-96.916667,10,1977,24.8875,14.45833,63.13683,236.71161,36.5,13.6,22.9,26.13333,21.86667,27.81667,21.86667,575,116,5,95.13586,326,18,175,18,789
22,5101635501,Bursera biflora,18.283333,-97.533333,6,1985,21.13333,15.41667,67.32169,215.35736,32.5,9.6,22.9,22.36667,18.26667,23.61667,18.26667,462,109,4,94.64858,244,16,171,16,1626
23,5101629149,Bursera biflora,18.228494,-97.57833,7,1975,17.70417,14.60833,67.94573,188.6972,28.7,7.2,21.5,18.63333,15.3,19.98333,15.28333,543,138,4,96.99818,287,14,227,17,2048
24,5101609228,Bursera biflora,17.316667,-96.466667,8,1985,15.79583,11.45833,64.37266,160.02071,25.1,7.3,17.8,15.81667,15.18333,17.86667,13.83333,1074,203,12,82.91711,549,45,280,104,2175
25,5101609123,Bursera biflora,18.203889,-97.531111,6,2002,17.22917,14.375,67.8066,187.14917,28,6.8,21.2,18.16667,14.83333,19.48333,14.83333,549,132,6,91.11818,278,22,221,22,2086
26,5101605174,Bursera biflora,18.033333,-97.183333,11,1987,24.04167,17.41667,68.56956,244.84535,36.6,11.2,25.4,25.41667,20.8,26.91667,20.8,522,103,5,94.7534,290,18,160,18,995
27,5101605138,Bursera biflora,18.317379,-97.466939,6,1991,21.52917,15.60833,67.86232,217.34407,32.8,9.8,23,22.85,18.61667,24.01667,18.61667,458,108,3,98.72774,239,14,168,14,1524
28,5101585443,Bursera biflora,17.856,-97.189,10,2012,18.85833,14.56667,64.45428,216.1106,30.2,7.6,22.6,20.16667,17.46667,21.5,16.08333,559,118,5,93.91892,310,19,178,34,1974
29,5101578166,Bursera biflora,17.86,-97.1,9,2011,21.06667,14.45,64.22222,229.57799,32.2,9.7,22.5,22.53333,19.43333,23.8,18.1,936,181,11,91.93173,513,39,263,42,1668
30,4168707517,Bursera biflora,18.15,-97.433333,10,1984,19.5125,14.39167,66.93798,198.07167,30.4,8.9,21.5,20.56667,18.18333,21.91667,16.98333,540,120,6,86.35165,274,25,196,33,1867
31,4126869480,Bursera biflora,18.583485,-97.503606,5,2023,18.50417,15.45833,67.50364,203.65364,29.8,6.9,22.9,19.76667,15.85,20.88333,15.83333,560,116,7,85.17179,262,26,209,30,1784
32,3747791330,Bursera biflora,18.453496,-97.42303,6,1971,20.07083,15.50833,66.55937,221.65143,31.5,8.2,23.3,21.51667,17.11667,22.6,17.11667,594,125,6,88.14359,292,26,206,26,1664
33,370834506,Bursera biflora,18.366172,-97.467296,6,1978,16.52917,13.65833,68.98148,169.02742,26.6,6.8,19.8,17.38333,14.35,18.56667,14.35,513,115,5,89.10889,251,19,205,19,2143
34,3311005314,Bursera biflora,18.107778,-97.486939,7,1909,19.10417,14.44167,67.48443,189.32245,30,8.6,21.4,20,17.91667,21.43333,16.68333,512,121,5,90.29426,267,21,200,25,1911
35,3311005303,Bursera biflora,18.174606,-97.381364,6,1908,17.96667,14.05,66.27359,197.71805,28.8,7.6,21.2,19.01667,16.68333,20.4,15.43333,579,124,7,85.27534,292,26,206,36,1971
36,3308693343,Bursera biflora,18.40389,-97.43083,7,2002,19.275,14.63333,66.81887,208.40848,30.2,8.3,21.9,20.55,16.53333,21.7,16.53333,575,120,6,86.19796,280,25,205,25,1789
37,3308673892,Bursera biflora,17.60808,-96.94894,10,2004,22.73333,14.8,65.19823,216.58859,33.9,11.2,22.7,23.93333,19.93333,25.36667,19.93333,1016,192,14,89.61389,552,44,288,44,1435
38,3308666607,Bursera biflora,17.5608,-96.9458,6,2009,19.68333,13.5,63.98104,197.98225,30.2,9.1,21.1,20.75,18.35,22.08333,17.15,898,176,11,91.94019,489,34,265,56,1809
39,3308663166,Bursera biflora,17.56078,-96.94589,6,2009,19.68333,13.5,63.98104,197.98225,30.2,9.1,21.1,20.75,18.35,22.08333,17.15,898,176,11,91.94019,489,34,265,56,1809
40,3308660043,Bursera biflora,18.61944,-97.47333,5,2010,15.45417,14.175,68.81068,175.56995,25.8,5.2,20.6,17.08333,13.16667,17.51667,13.16667,438,95,2,94.83127,226,9,183,9,2115
41,3308657168,Bursera biflora,18.437222,-97.45,6,1987,18.11667,14.63333,66.81887,205.37476,29.1,7.2,21.9,19.4,15.41667,20.5,15.41667,538,111,5,85.38707,252,22,202,22,1909
42,3308654749,Bursera biflora,18.1525,-97.055556,6,1987,22.7,15.76667,65.42185,243.66521,34.4,10.3,24.1,23.65,20.9,25.6,19.5,1263,237,18,87.79639,679,62,327,70,1426
43,3308653186,Bursera biflora,16.77475,-96.35303,8,2002,20.59583,14.25833,71.29166,122.46443,30.5,10.5,20,21.05,19.16667,22.13333,19.1,589,136,1,97.15651,323,8,236,11,1683
44,3308647328,Bursera biflora,18.321389,-97.632222,11,1991,19.8625,14.775,67.77523,196.41243,30.9,9.1,21.8,20.9,17.28333,22.18333,17.28333,503,123,3,94.33275,267,13,197,13,1765
45,3308637839,Bursera biflora,17.8,-97.017,11,1990,24.725,16.45,67.41804,229.28246,36.8,12.4,24.4,25.48333,21.75,27.51667,21.75,914,174,13,90.12996,502,41,254,41,1110
46,3308637531,Bursera biflora,18.155,-97.42111,11,2005,18.36667,14.18333,67.21959,189.42897,29.1,8,21.1,19.31667,17.11667,20.7,15.95,551,123,6,86.84835,277,24,205,31,1984
47,3308633971,Bursera biflora,18.233,-97.417,7,2002,16.36667,13.73333,66.66666,186.34441,27,6.4,20.6,17.3,14.03333,18.65,13.98333,568,128,6,90.06465,290,23,216,26,2135
48,3308633541,Bursera biflora,17.058333,-96.626667,6,1978,21.0625,15.99167,70.13889,153.43231,31.9,9.1,22.8,21.91667,19.08333,22.81667,19.05,642,140,3,91.68138,341,14,243,21,1575
49,3308607351,Bursera biflora,17.964306,-97.354167,6,2002,16.7,15.71667,68.93275,181.2457,28.2,5.4,22.8,17.55,14.46667,18.93333,14.4,547,127,5,92.31658,286,17,213,23,2163
50,3308606724,Bursera biflora,18.161258,-97.614944,5,2000,18.64583,14.375,66.86047,193.65456,29.7,8.2,21.5,19.58333,16.2,21.01667,16.18333,515,129,4,95.18838,276,15,209,18,1895
