fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,980489896,Icterus dominicensis,22.504078,-78.56331,4,2012,25.33333,8.13333,59.3674,211.82468,31.8,18.1,13.7,27.13333,22.81667,27.75,22.55,1059,163,27,61.49047,418,90,351,92,3
2,980486748,Icterus dominicensis,22.456432,-78.161575,4,2012,25.60417,7.975,59.07408,212.06194,32.1,18.6,13.5,27.41667,23.1,28.06667,22.83333,816,145,20,65.21593,351,67,276,69,2
4,980181422,Icterus dominicensis,22.19,-81.02,3,2012,25.22083,9.39167,61.78728,205.81828,32.1,16.9,15.2,27.16667,22.56667,27.55,22.56667,1169,206,15,70.56372,522,69,502,69,5
5,979832129,Icterus dominicensis,18.87634,-69.622025,2,2008,24.80417,10.55833,76.50967,124.54386,31.3,17.5,13.8,25.86667,23.1,26.11667,23.1,2012,271,69,43.23471,711,234,697,234,198
6,979809116,Icterus dominicensis,17.9258,-71.23728,2,2008,25.22083,10.10833,76.57829,101.05035,31.4,18.2,13.2,26.21667,23.86667,26.41667,23.86667,1068,169,29,59.15036,461,96,384,96,237
7,978319953,Icterus dominicensis,18.53268,-72.23315,12,1970,26.44167,11.71667,74.62846,128.66153,34.1,18.4,15.7,27.55,24.75,27.95,24.75,1051,173,19,58.28479,403,73,282,73,119
8,978308805,Icterus dominicensis,18.4681,-72.29621,12,1970,19.24583,10.59167,72.05215,123.92185,26,11.3,14.7,20.43333,17.6,20.65,17.6,1647,300,23,66.13826,700,80,548,80,1181
9,977934016,Icterus dominicensis,19.479883,-70.19838,3,2013,24.45,9.6,73.28245,139.25124,30.8,17.7,13.1,24.06667,22.85,25.9,22.6,1763,225,96,27.0322,572,327,398,419,291
10,977743805,Icterus dominicensis,18.713924,-68.45564,2,2012,26.3625,8.05833,73.92966,119.10889,31.8,20.9,10.9,26.93333,24.93333,27.75,24.9,1280,160,61,30.05547,417,201,335,230,6
11,977737245,Icterus dominicensis,21.11307,-75.86566,2,2012,26.35,7.11667,56.48148,184.61263,32.7,20.1,12.6,26.96667,24.95,28.58333,23.96667,993,165,41,49.32613,406,139,198,183,19
12,977656754,Icterus dominicensis,19.917557,-77.182625,1,2011,25.975,9.56667,67.84869,146.29515,32.5,18.4,14.1,27.35,24.06667,27.65,24.06667,1096,187,30,59.36925,430,100,344,100,52
13,977078135,Icterus dominicensis,18.721659,-68.45924,12,2013,26.35417,8.14167,73.34834,119.66731,31.9,20.8,11.1,26.93333,24.93333,27.75,24.9,1285,160,61,30.05666,418,201,338,230,4
14,976127322,Icterus dominicensis,22.615238,-83.71579,11,2013,24.0875,9.65833,62.31183,216.80664,31.3,15.8,15.5,26.41667,21.2,26.41667,21.2,1530,211,53,51.7096,590,182,590,182,148
15,976105772,Icterus dominicensis,22.755129,-83.38984,11,2013,23.8625,9.025,60.57047,220.85706,31,16.1,14.9,25.83333,20.98333,26.28333,20.98333,1473,207,54,46.90683,544,180,538,180,156
16,975929035,Icterus dominicensis,22.141172,-80.96327,11,2013,25.125,9.4,62.25165,202.45653,32,16.9,15.1,27.01667,22.48333,27.38333,22.48333,1167,207,17,70.0042,522,74,493,74,10
17,975858784,Icterus dominicensis,22.496092,-81.21158,11,2013,25.25,8.83333,59.68469,207.43015,32,17.2,14.8,27.61667,22.56667,27.61667,22.56667,1285,207,14,68.74299,577,81,577,81,7
18,975803534,Icterus dominicensis,19.197002,-69.33742,12,2013,25.85,9.25,76.44628,111.82372,31.7,19.6,12.1,25.6,24.51667,27.05,24.38333,2108,255,90,28.71094,666,339,530,421,11
19,975210364,Icterus dominicensis,22.284014,-81.193085,5,1982,25.19583,8.80833,59.92064,202.61313,31.9,17.2,14.7,27.5,22.56667,27.5,22.56667,1192,205,12,69.44872,526,69,526,69,11
21,972718689,Icterus dominicensis,21.914541,-80.01815,7,2001,20.69167,8.61667,60.25641,205.2253,27.4,13.1,14.3,22.45,17.96667,22.91667,17.96667,1575,237,23,66.15688,645,100,610,100,731
22,972355620,Icterus dominicensis,18.733038,-68.46753,11,2013,26.3375,8.175,73.64865,120.02131,31.9,20.8,11.1,26.88333,24.9,27.73333,24.86667,1292,160,60,29.90787,419,203,339,232,4
23,972312700,Icterus dominicensis,19.32151,-69.50226,2,2008,25.70417,9.24167,74.52957,122.68694,31.6,19.2,12.4,25.28333,24.3,27.01667,24.06667,2036,254,88,29.30256,636,320,507,392,9
24,972261306,Icterus dominicensis,18.685926,-68.41976,3,2002,26.38333,7.93333,73.45679,118.328,31.8,21,10.8,26.96667,24.95,27.76667,24.95,1256,159,59,30.18787,411,199,327,199,6
25,972103998,Icterus dominicensis,22.193764,-81.21437,11,2013,25.45,8.43333,60.23809,200.56737,31.9,17.9,14,27.28333,22.83333,27.7,22.83333,1130,202,10,70.95573,508,61,495,61,5
26,972051802,Icterus dominicensis,18.354473,-71.618286,9,2013,24.22083,11.375,75.33112,118.69478,31.5,16.4,15.1,25.3,22.6,25.56667,22.6,1036,173,16,63.70128,433,60,347,60,486
27,971899948,Icterus dominicensis,22.474915,-81.55529,11,2013,25.3125,8.25833,57.34954,210.27174,31.9,17.5,14.4,27.71667,22.6,27.71667,22.6,1257,207,15,69.38853,564,74,564,74,6
28,971886429,Icterus dominicensis,21.921389,-84.4816,11,2013,25.37917,9.40833,62.72222,195.25577,32.3,17.3,15,26.86667,22.75,27.53333,22.75,1373,220,44,56.59687,558,145,515,145,9
30,971859967,Icterus dominicensis,22.577719,-81.3541,11,2013,25.35417,8.45833,58.73843,211.47165,31.9,17.5,14.4,27.76667,22.61667,27.76667,22.61667,1285,207,16,68.80183,583,83,583,83,6
31,971733475,Icterus dominicensis,22.595417,-83.71033,11,2013,23.8125,9.59167,62.28355,214.98544,31,15.6,15.4,26.1,20.95,26.13333,20.95,1548,214,53,51.93408,599,183,598,183,196
32,971713121,Icterus dominicensis,21.93777,-84.55565,11,2013,25.35833,9.33333,62.63982,196.61723,32.2,17.3,14.9,27.33333,22.7,27.51667,22.7,1373,220,43,56.66797,558,144,519,144,13
