fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
23473,3416244633,Icterus gularis,17.515255,-95.140604,11,2021,25.27083,10.80833,58.74094,225.54439,35.2,16.8,18.4,26.5,24.86667,27.81667,22.25,2087,487,35,91.54241,1206,108,416,144,98
23921,4091019140,Icterus gularis,25.6788,-99.258615,6,2022,22.8625,13.075,45.24222,582.82275,36.6,7.7,28.9,28.91667,16.75,29.36667,15.06667,559,123,14,70.09464,254,55,205,60,178
21563,3079684397,Icterus gularis,19.286939,-96.440125,1,2018,25.20417,13.60833,67.36799,215.3481,35,14.8,20.2,26.91667,22.9,27.38333,22.15,1030,263,10,108.87842,662,35,240,37,55
3830,2035281722,Icterus gularis,20.97118,-89.62173,1,2017,26.40833,13.16667,68.22108,193.1066,36.1,16.8,19.3,27.68333,25.88333,28.4,23.71667,968,163,23,68.80229,460,71,358,101,13
19637,3784673555,Icterus gularis,26.180321,-98.383238,4,2022,23.2625,11.99167,43.76521,556.39313,36.1,8.7,27.4,27.3,20.6,29.46667,15.76667,559,93,14,50.09803,208,74,173,92,38
7117,2038536567,Icterus gularis,12.593433,-86.04973,2,2017,25,9.41667,69.7531,96.15326,32.1,18.6,13.5,24.86667,24.63333,26.28333,23.85,1310,248,7,86.79949,633,30,180,108,424
742,3639153025,Icterus gularis,14.970377,-88.08105,12,2021,20.14583,10.60833,69.79166,149.43011,28.2,13,15.2,20.58333,20.35,21.8,18.15,1575,276,22,68.0851,664,98,469,210,1219
17309,4819790704,Icterus gularis,14.010522,-87.092995,10,2023,19.59583,10.725,65.79755,166.68503,27.8,11.5,16.3,20.38333,18.26667,21.31667,17.28333,1246,230,15,82.60557,552,47,455,50,1338
916,4824582398,Icterus gularis,19.452332,-96.829544,10,2023,20.775,10.36667,59.23809,218.21071,29.5,12,17.5,22.1,20.21667,23.05,17.73333,1311,236,37,74.21145,632,117,358,126,949
1054,4395475467,Icterus gularis,19.356112,-96.719666,4,2022,23.05417,11.275,61.61203,229.1234,32.1,13.8,18.3,24.56667,20.58333,25.36667,19.85,1137,230,22,89.65162,628,69,498,71,524
24178,5146746153,Icterus gularis,22.196667,-97.829444,4,1960,24.1,8.83333,48.5348,363.00513,32.3,14.1,18.2,27.55,22.08333,27.81667,19.05,1036,233,13,86.10772,540,50,478,92,48
2581,2722394426,Icterus gularis,14.901641,-91.994705,10,2019,24.75,11.95,81.29253,53.80941,31.9,17.2,14.7,24.65,24.13333,25.43333,24.13333,3762,642,27,77.2291,1718,105,706,105,624
23835,5027360928,Icterus gularis,16.902908,-93.184402,1,2017,22.3875,12.80833,65.68376,185.63313,32.3,12.8,19.5,23.38333,22.16667,24.46667,19.85,1282,234,19,77.60018,622,73,345,110,1015
24133,858576719,Icterus gularis,16.433333,-95.333333,1,1952,27.04583,11.44167,69.76626,130.02548,35.3,18.9,16.4,27.86667,25.28333,28.55,25.28333,746,181,1,118.45366,468,5,219,5,143
15505,4840465755,Icterus gularis,18.365776,-88.401505,11,2023,26.07083,10.09167,68.18694,169.5778,32.8,18,14.8,27.58333,25.48333,27.65,23.68333,1272,213,23,64.1904,522,88,460,158,3
3605,831648181,Icterus gularis,15.180388,-92.83222,7,2012,27.50833,11.58333,77.22222,79.68213,34.7,19.7,15,27.6,26.8,28.48333,26.45,1776,402,1,99.44958,957,10,517,12,16
9510,2060849395,Icterus gularis,20.709543,-88.188095,4,2017,25.87917,14.09167,71.5313,182.38893,35.4,15.7,19.7,27.38333,23.96667,27.81667,23.4,1157,193,31,63.99157,522,106,418,109,24
11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12012,3676682796,Icterus gularis,13.836916,-89.62663,5,2021,16.0125,9.55833,75.85979,74.16582,22.3,9.7,12.6,16.18333,15.11667,16.93333,15.08333,2021,399,6,94.82542,1070,21,288,59,1926
12816,3675249755,Icterus gularis,19.803354,-90.52334,7,2021,26.5375,12.35833,65.04385,204.92932,36.2,17.2,19,27.8,26.1,28.71667,23.75,1174,231,16,83.63366,618,56,257,85,38
3297,3644983591,Icterus gularis,13.763217,-89.5501,10,2021,23.55,11.7,74.52229,81.96452,31.5,15.8,15.7,23.45,22.95,24.73333,22.68333,1807,358,3,96.14951,972,14,233,48,663
17537,3677501097,Icterus gularis,17.61698,-93.9213,5,2021,26.0625,10.35833,58.85417,230.57364,35.6,18,17.6,27,25.53333,28.43333,22.86667,2540,400,55,56.38262,1087,225,465,432,25
4784,4737598484,Icterus gularis,19.332178,-96.462036,10,2023,25.1125,13.84167,68.18555,211.87605,34.9,14.6,20.3,26.81667,24.36667,27.25,22.11667,1066,269,8,110.2218,685,33,508,35,90
9750,3146724074,Icterus gularis,20.536749,-89.32612,2,2020,25.80417,14.525,66.93549,206.9086,36.8,15.1,21.7,27.06667,23.88333,28.01667,23,1115,193,27,67.67116,527,98,283,104,21
22406,3031921609,Icterus gularis,26.487296,-98.82253,1,2021,23.20833,13.2,44.59459,603.44403,37.2,7.6,29.6,27.38333,16.98333,30,15.15,549,108,17,57.43353,220,70,163,77,76
11974,4686324541,Icterus gularis,20.924387,-97.65225,6,2023,24.56667,11.01667,56.20748,322.99265,33.9,14.3,19.6,27.36667,21.13333,27.88333,20.11667,1126,229,30,70.83649,540,102,367,106,17
20890,3408060751,Icterus gularis,19.157544,-96.831774,10,2021,21.1625,11.45833,62.95787,220.08392,30.2,12,18.2,22.53333,20.63333,23.43333,18.08333,1415,257,32,78.95456,704,109,390,118,876
12634,2186529273,Icterus gularis,14.588637,-88.58091,6,2018,22.7125,11.34167,68.3233,146.07167,31.6,15,16.6,23.26667,21.9,24.36667,20.76667,1290,240,14,80.4641,595,51,436,101,794
7984,1207305256,Icterus gularis,20.199057,-87.4578,9,2014,25.91667,10.55,70.33333,160.48692,32.8,17.8,15,27,25.08333,27.56667,23.71667,1182,203,35,55.91393,499,121,371,172,11
10203,1395606450,Icterus gularis,26.477798,-99.08676,11,2015,23.37917,13.575,44.65461,621.75873,37.8,7.4,30.4,27.61667,17.01667,30.43333,15.1,535,106,15,57.34026,211,65,163,72,75
21005,2901592091,Icterus gularis,21.20857,-87.725068,10,2020,25.39167,13.66667,71.18056,186.91069,34.5,15.3,19.2,27.1,24.48333,27.25,22.83333,1068,162,37,54.2617,436,118,359,133,16
21857,2006086897,Icterus gularis,19.196828,-96.20743,2,2019,25.5375,12.64167,65.84202,218.01923,34.8,15.6,19.2,27.1,24.53333,27.73333,22.45,1380,290,16,97.15372,799,51,537,64,25
