fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,975594765,Icterus maculialatus,14.544813,-91.183685,5,2005,19.325,11.2,82.96296,46.92839,25.7,12.2,13.5,19.23333,18.8,19.8,18.75,2895,606,24,85.13864,1340,111,929,176,1507
2,972348433,Icterus maculialatus,14.567126,-90.46655,11,2013,16.53333,10.13333,75.06173,85.20918,23.4,9.9,13.5,17.01667,15.95,17.45,15.38333,1357,284,8,91.86703,707,27,460,67,1885
3,971490090,Icterus maculialatus,14.579155,-90.734085,3,2013,18.44583,11.10833,75.05631,84.16592,25.9,11.1,14.8,18.86667,18.08333,19.41667,17.31667,1230,280,2,99.6524,655,14,153,44,1558
4,971427315,Icterus maculialatus,15.117205,-92.132034,12,2006,12.12917,11.74167,76.74292,88.43226,18.9,3.6,15.3,12.66667,10.86667,13,10.86667,1584,309,5,88.54902,735,32,697,32,2891
5,969329626,Icterus maculialatus,14.743363,-91.16338,1,2005,18.225,12.33333,77.08334,73.31438,26.1,10.1,16,18.46667,17.36667,19.03333,17.26667,2144,444,7,90.31781,1002,54,310,92,1622
6,963002121,Icterus maculialatus,14.38887,-90.59937,6,2013,14.67917,11.04167,76.14942,67.46914,21.9,7.4,14.5,15,13.81667,15.43333,13.81667,1677,333,10,89.19285,835,37,258,37,2292
7,961356657,Icterus maculialatus,14.607422,-91.244675,7,2013,17.97083,11.375,80.67376,59.44662,24.6,10.5,14.1,18.03333,17.18333,18.58333,17.18333,2285,484,8,90.28508,1077,58,959,58,1695
8,961075407,Icterus maculialatus,14.530446,-90.73674,3,1989,18.625,11.26667,76.64399,80.58028,25.9,11.2,14.7,19.06667,17.66667,19.51667,17.53333,1217,278,1,101.09985,644,12,153,38,1549
9,960725633,Icterus maculialatus,14.473422,-90.49796,7,2013,17.82917,10.09167,74.75308,80.86068,24.7,11.2,13.5,18.25,16.81667,18.71667,16.75,1380,288,2,97.22323,731,10,470,38,1690
10,960629564,Icterus maculialatus,14.64743,-91.22965,2,2009,18.47917,11.55833,79.16667,64.99855,25.4,10.8,14.6,18.48333,17.68333,19.15,17.61667,2338,496,9,91.36258,1093,60,788,96,1570
11,958921874,Icterus maculialatus,13.854747,-89.651184,11,2011,16.99167,9.51667,74.93439,81.5986,23.4,10.7,12.7,17.23333,16.01667,17.98333,15.95,2093,432,6,96.23157,1129,23,286,63,1745
12,957449452,Icterus maculialatus,14.539721,-88.651085,4,2013,14.04583,9.09167,65.88164,144.32379,21.1,7.3,13.8,14.91667,13.06667,15.6,12.06667,1629,285,22,77.76737,753,85,521,115,2202
13,951417503,Icterus maculialatus,14.36104,-89.40141,4,2013,22.57083,10.55833,71.82539,101.49919,30.2,15.5,14.7,22.98333,21.41667,23.83333,21.28333,1281,250,1,96.55632,675,11,178,26,871
14,949979762,Icterus maculialatus,14.362436,-89.40368,4,2013,22.57083,10.55833,71.82539,101.49919,30.2,15.5,14.7,22.98333,21.41667,23.83333,21.28333,1281,250,1,96.55632,675,11,178,26,871
15,949927692,Icterus maculialatus,14.620103,-90.4889,4,2013,19.4,10.55,73.26389,93.71136,26.7,12.3,14.4,19.9,18.75,20.43333,18.16667,1280,278,3,98.43635,675,12,433,44,1465
16,949217439,Icterus maculialatus,14.588861,-90.72639,2,2013,16.89583,11.15833,74.88815,83.73274,24.4,9.5,14.9,17.35,16.48333,17.81667,15.76667,1315,287,2,96.77417,697,14,171,44,1821
17,946497699,Icterus maculialatus,16.794027,-93.41401,3,2013,23.8125,12.85833,66.62349,183.77512,33.6,14.3,19.3,24.83333,23.61667,25.85,21.31667,1056,205,13,88.14839,547,44,301,63,801
18,944778394,Icterus maculialatus,13.860622,-89.776924,12,1999,20.01667,10.06667,77.4359,80.91335,26.6,13.6,13,20.23333,19.16667,21.01667,19,1995,408,5,96.02227,1039,17,271,51,1311
19,944479948,Icterus maculialatus,15.698085,-92.7917,3,2013,20.50833,12.05,72.15569,132.45639,28.3,11.6,16.7,21.28333,19.3,21.9,18.65,2314,477,13,96.77047,1284,42,615,47,1316
20,936609864,Icterus maculialatus,14.127693,-88.910255,1,2007,19.35,9.61667,70.19464,104.49012,26.6,12.9,13.7,19.53333,18.15,20.65,18.01667,1642,313,8,91.93507,830,31,251,57,1392
21,896271810,Icterus maculialatus,14.992793,-92.166417,5,1943,25.275,12.43333,80.73592,58.94913,32.7,17.3,15.4,25.2,24.55,26.01667,24.55,3545,632,21,78.71671,1653,91,642,91,515
22,896270092,Icterus maculialatus,16.244958,-92.350578,9,1942,23.3625,13.14167,67.39317,152.98727,33.1,13.6,19.5,23.91667,21.35,25.16667,21.35,1334,299,5,99.63396,692,19,429,19,899
23,896261382,Icterus maculialatus,16.759892,-93.37317,8,1940,23.67083,12.825,66.79687,181.30159,33.4,14.2,19.2,24.98333,23.55,25.7,21.2,1013,202,11,91.95676,533,38,297,49,852
24,863565031,Icterus maculialatus,14.63333,-91.13333,1,1928,16.60417,11.29167,78.9627,66.65577,23.5,9.2,14.3,17,15.7,17.28333,15.7,2316,450,8,87.23186,1096,49,747,49,1961
25,832665843,Icterus maculialatus,14.3412,-89.15939,12,2012,20.125,10.06667,70.39627,108.42887,27.7,13.4,14.3,20.35,18.88333,21.46667,18.73333,1462,279,4,92.89099,757,24,219,44,1236
26,831310958,Icterus maculialatus,13.735662,-89.286194,1,2012,18.64167,9.63333,74.10257,83.90562,25.3,12.3,13,18.78333,17.73333,19.73333,17.6,2023,406,5,95.77594,1077,22,260,61,1476
27,831212381,Icterus maculialatus,14.672249,-91.48513,1,2012,19.04583,11.94167,84.09625,45.89802,25.8,11.6,14.2,19.11667,18.41667,19.51667,18.41667,2823,559,28,80.34753,1288,132,907,132,1546
28,829599442,Icterus maculialatus,13.846581,-89.63144,11,2010,14.4625,9.40833,75.26666,75.65247,20.7,8.2,12.5,14.7,13.48333,15.33333,13.48333,1953,381,8,93.04336,1009,27,291,27,2188
29,829361849,Icterus maculialatus,13.82503,-89.94148,5,2005,23.92083,10.525,79.13535,75.21056,30.3,17,13.3,24.16667,23.01667,24.78333,22.96667,1787,363,4,95.51979,905,14,236,53,602
30,829188998,Icterus maculialatus,14.576257,-90.51919,7,2001,19.39583,10.79167,73.91553,86.08819,26.8,12.2,14.6,19.83333,18.81667,20.35,18.26667,1248,266,2,98.45309,654,14,423,39,1493
31,829186614,Icterus maculialatus,13.616,-88.845,7,2002,20.38333,9.91667,71.34293,86.32218,27.7,13.8,13.9,20.35,19.65,21.58333,19.4,2003,401,6,94.01183,1028,22,258,73,1207
32,829185699,Icterus maculialatus,13.598447,-88.84064,6,2002,16.08333,9.36667,70.9596,82.16761,22.8,9.6,13.2,16.2,15.11667,17.11667,15.06667,1995,407,7,94.34857,1041,24,279,70,1975
33,829176010,Icterus maculialatus,13.604,-88.847,6,2002,18.41667,9.58333,71.51742,84.99553,25.4,12,13.4,18.45,17.56667,19.56667,17.4,1983,392,7,93.93272,1026,23,264,70,1557
34,829171908,Icterus maculialatus,13.603255,-88.84265,6,2002,18.41667,9.58333,71.51742,84.99553,25.4,12,13.4,18.45,17.56667,19.56667,17.4,1983,392,7,93.93272,1026,23,264,70,1557
35,829147021,Icterus maculialatus,13.607895,-88.83576,6,2002,17.7875,9.59167,71.04939,83.53348,24.8,11.3,13.5,17.83333,16.91667,18.91667,16.78333,1991,392,7,94.00442,1031,23,268,69,1681
36,829145737,Icterus maculialatus,13.60998,-88.83807,6,2002,20.15833,9.91667,71.34293,85.78072,27.5,13.6,13.9,20.13333,19.43333,21.35,19.18333,1988,398,7,93.78385,1009,23,258,73,1258
37,829128370,Icterus maculialatus,13.617,-88.836,7,2002,21.57083,10.275,71.35416,85.74431,29.2,14.8,14.4,21.48333,20.95,22.78333,20.65,2019,409,5,93.8075,1010,19,268,366,994
38,829117748,Icterus maculialatus,14.46043,-90.56459,1,2000,21.10417,10.325,75.36497,90.74084,27.9,14.2,13.7,21.66667,19.96667,22.06667,19.86667,1321,304,1,103.47745,718,6,458,31,1199
39,829105955,Icterus maculialatus,13.607,-88.824,7,2002,20.33333,9.8,72.05882,82.13995,27.5,13.9,13.6,20.3,19.65,21.48333,19.41667,1994,400,6,93.81126,1011,22,261,72,1222
40,829075720,Icterus maculialatus,14.426518,-90.53232,3,2000,18.9375,9.99167,75.12531,80.56972,25.7,12.4,13.3,19.36667,17.95,19.81667,17.85,1390,294,1,99.02938,724,8,485,34,1522
41,828998610,Icterus maculialatus,13.746714,-89.25348,7,1995,17.2,9.43333,74.27821,81.90907,23.7,11,12.7,17.36667,16.25,18.23333,16.16667,2020,412,6,96.40526,1090,23,266,62,1751
42,686301869,Icterus maculialatus,14.133,-88.913,7,2002,19.35,9.61667,70.19464,104.49012,26.6,12.9,13.7,19.53333,18.15,20.65,18.01667,1642,313,8,91.93507,830,31,251,57,1392
