fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,985685402,Icterus abeillei,19.55316,-100.3518,2,2006,14.35,14.65,67.51152,188.22134,24.8,3.1,21.7,15.81667,13.98333,16.31667,11.71667,967,210,8,97.64392,571,37,239,50,2299
2,984191956,Icterus abeillei,20.29,-103.18917,3,2010,19.875,12.08333,61.02694,231.5511,29.4,9.6,19.8,21.9,19.11667,22.26667,16.65,890,233,3,119.61404,611,13,437,30,1528
3,984101563,Icterus abeillei,19.39152,-100.25798,2,2010,10.78333,12.2,68.15643,165.8221,19.1,1.2,17.9,12.05,10.16667,12.38333,8.43333,1143,224,13,90.07272,638,51,492,62,3129
4,980578582,Icterus abeillei,19.065613,-99.9829,12,2003,16.10417,14.35833,70.38399,146.17018,26.2,5.8,20.4,16.98333,14.76667,17.78333,14.11667,1108,216,9,96.95994,631,36,305,38,2062
5,980561035,Icterus abeillei,19.53804,-103.60478,1,1994,10.45,11.96667,65.75092,180.84398,19.2,1,18.2,11.85,9.75,12.3,7.96667,1342,282,10,94.78444,774,38,542,85,3300
6,978752055,Icterus abeillei,19.588179,-100.26712,2,1978,10.96667,13.08333,68.14236,174.15163,19.9,0.7,19.2,12.23333,10.45,12.66667,8.51667,1012,212,12,92.8257,578,46,445,53,3047
7,978749260,Icterus abeillei,19.603521,-100.29466,1,1978,12.2625,14.10833,67.82853,185.70657,22,1.2,20.8,13.81667,11.7,14.11667,9.66667,933,208,8,98.10799,553,35,421,45,2649
8,977997980,Icterus abeillei,20.91789,-100.724236,6,2013,16.99167,15.68333,61.74541,276.64249,29.4,4,25.4,19.2,14.55,20.03333,13.3,543,122,7,94.19741,320,30,149,31,2020
9,977646867,Icterus abeillei,19.3281,-99.21886,12,2013,15.30833,14.9,69.95305,164.17609,25.4,4.1,21.3,16.33333,13.08333,17.16667,13.08333,898,187,10,95.5605,523,33,256,33,2388
10,977287540,Icterus abeillei,19.165539,-100.14263,9,1983,16.24167,13.93333,69.32006,151.02429,26.2,6.1,20.1,16.85,16.16667,18.01667,14.18333,1001,203,8,100.3127,589,30,251,40,1956
