fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,985132034,Icterus auratus,20.8625,-87.04917,3,2011,25.75833,10.38333,64.89583,199.31512,33.2,17.2,16,27.18333,24.55,27.91667,23.1,1300,200,43,48.57878,530,149,406,209,13
2,985045221,Icterus auratus,20.62389,-87.07667,2,2011,26.3,9.85,65.66667,188.83617,33.2,18.2,15,27.56667,25.25,28.35,23.78333,1339,219,35,54.44482,569,138,419,196,10
3,985034327,Icterus auratus,20.85917,-90.4,3,2010,26.52917,11.09167,70.20042,175.10332,34.3,18.5,15.8,27.96667,25.76667,28.23333,24.05,735,140,8,80.07886,378,36,270,70,3
5,982836807,Icterus auratus,21.23012,-86.74072,11,2008,26.2,8.91667,63.23877,186.63286,33,18.9,14.1,27.66667,24.83333,28.25,23.76667,1215,194,37,49.70946,495,133,397,182,2
6,982310882,Icterus auratus,18.50361,-88.30528,4,2008,26.36667,9.58333,68.45238,164.68059,32.6,18.6,14,27.43333,25.73333,27.95,24.05,1235,196,25,57.68965,481,97,478,185,12
7,981904122,Icterus auratus,20.20806,-87.46639,6,2003,25.89583,10.65833,70.585,160.38954,32.8,17.7,15.1,26.96667,25.06667,27.55,23.7,1181,201,35,55.03092,494,122,369,176,10
8,981574079,Icterus auratus,21.5125,-87.67944,3,2007,25.4875,11.39167,69.88753,187.72711,33.3,17,16.3,26.93333,24.28333,27.4,22.93333,809,133,26,52.29464,331,95,279,120,3
10,980104416,Icterus auratus,20.255697,-87.40549,4,2012,25.92083,10.39167,69.74273,163.00389,32.8,17.9,14.9,27.03333,25.03333,27.61667,23.7,1196,206,35,56.25348,508,123,376,171,6
11,979885759,Icterus auratus,20.426973,-87.29262,3,2010,25.89167,10.21667,67.66003,175.3287,32.9,17.8,15.1,27.08333,24.91667,27.75,23.53333,1262,211,36,56.01727,544,130,404,176,9
12,979374132,Icterus auratus,20.354664,-87.38019,12,2013,25.79583,10.475,68.91447,170.39334,32.8,17.6,15.2,26.96667,24.83333,27.58333,23.48333,1232,205,37,54.41611,521,130,389,181,16
14,978570139,Icterus auratus,21.175447,-89.53102,4,2013,25.8875,11.94167,65.97606,196.80544,34.8,16.7,18.1,27.26667,25.38333,27.88333,23.15,807,145,21,62.70753,349,72,267,105,7
15,978521080,Icterus auratus,21.36007,-88.89976,12,2013,25.6375,13.15833,71.12613,178.21242,34.6,16.1,18.5,26.96667,25.08333,27.36667,23.11667,805,138,17,62.46459,345,72,281,117,5
17,977818841,Icterus auratus,20.319376,-87.357834,4,1995,25.95417,10.225,69.08784,165.94711,32.8,18,14.8,27.08333,25.05,27.7,23.7,1225,209,35,56.1014,524,125,387,175,2
18,977760404,Icterus auratus,21.567417,-88.110695,12,2013,25.70833,11.41667,71.35417,176.07893,33.2,17.2,16,26.93333,24.86667,27.45,23.25,754,126,18,53.70934,308,75,265,120,7
19,977742602,Icterus auratus,20.311714,-87.38148,1,2009,25.8875,10.35833,69.05555,166.63957,32.8,17.8,15,27.01667,24.98333,27.63333,23.61667,1214,206,36,55.71829,517,126,385,174,10
20,977612537,Icterus auratus,20.701342,-87.01367,7,2013,26.18333,9.58333,64.31767,191.97932,33.2,18.3,14.9,27.48333,25.06667,28.28333,23.63333,1330,211,37,52.93909,562,138,413,200,4
21,977425470,Icterus auratus,20.676647,-88.5691,11,1996,25.8,14.1,70.14925,187.095,35.7,15.6,20.1,27.21667,23.91667,27.76667,23.25,1218,207,30,64.58815,559,105,433,123,34
22,977340719,Icterus auratus,20.56851,-88.51333,12,2013,25.85,14.21667,70.03284,187.50758,35.8,15.5,20.3,27.26667,23.95,27.81667,23.28333,1202,207,32,64.76448,550,105,425,117,29
23,977053812,Icterus auratus,18.778984,-87.742035,4,2005,26.58333,8.68333,69.46667,150.7607,32.6,20.1,12.5,26.86667,25.78333,28.1,24.5,1412,217,32,51.85319,578,123,424,247,1
24,977041861,Icterus auratus,21.042786,-89.65451,1,2013,26.02083,12.50833,66.53368,195.61627,35.4,16.6,18.8,27.31667,25.56667,28.03333,23.31667,912,158,22,66.99679,425,70,324,102,8
26,976871535,Icterus auratus,21.597607,-88.15794,12,2013,25.7,11.06667,70.94017,175.83568,33,17.4,15.6,26.93333,24.85,27.43333,23.25,729,122,17,53.19816,297,71,253,121,1
27,976789916,Icterus auratus,20.35963,-89.77055,12,2013,25.55,14.13333,66.66666,208.40302,36.2,15,21.2,26.86667,23.56667,27.73333,22.7,1105,202,22,73.3945,540,80,284,82,53
28,976689485,Icterus auratus,20.478361,-87.25981,4,2008,25.90417,10.24167,66.939,180.22031,32.9,17.6,15.3,27.11667,24.93333,27.8,23.46667,1278,213,36,56.31697,553,132,410,174,8
29,976560702,Icterus auratus,21.42266,-88.24523,12,2013,25.79167,12.96667,71.24541,180.41408,34.5,16.3,18.2,27.3,25.15,27.61667,23.28333,1031,172,26,58.76288,439,94,338,147,8
30,976199355,Icterus auratus,20.845657,-86.87902,12,2013,26.225,9.61667,64.11111,194.56827,33.3,18.3,15,27.56667,25.06667,28.35,23.63333,1267,195,40,48.90519,517,141,381,203,3
31,975632854,Icterus auratus,20.129635,-87.5834,3,2009,25.8375,11.025,70.67308,165.00864,33,17.4,15.6,26.96667,24.93333,27.53333,23.58333,1210,189,38,51.62867,499,131,384,188,11
32,975519619,Icterus auratus,20.268387,-87.38918,12,2013,25.94583,10.325,69.76352,163.19897,32.8,18,14.8,27.03333,25.06667,27.65,23.73333,1202,207,35,56.29115,512,123,379,171,2
33,975063022,Icterus auratus,21.283617,-89.662254,12,2004,25.95833,9.96667,66.00442,187.17799,33.3,18.2,15.1,27.15,25.13333,27.75,23.3,683,129,20,62.85831,298,66,212,92,2
34,975013198,Icterus auratus,20.425556,-87.29893,1,2012,25.89167,10.21667,67.66003,175.3287,32.9,17.8,15.1,27.08333,24.91667,27.75,23.53333,1262,211,36,56.01727,544,130,404,176,9
35,974704872,Icterus auratus,21.560295,-88.04036,12,2013,25.7,11.53333,71.19342,178.69473,33.3,17.1,16.2,26.96667,24.8,27.48333,23.21667,782,130,21,53.89358,321,79,278,121,6
36,974685086,Icterus auratus,20.232563,-87.49649,3,2010,25.77917,10.84167,70.40044,164.14322,32.8,17.4,15.4,26.91667,24.88333,27.46667,23.53333,1204,196,38,51.55733,492,131,372,196,13
38,974475833,Icterus auratus,20.18652,-87.442635,1,2011,25.97083,10.45833,70.66442,160.13431,32.8,18,14.8,27.05,25.11667,27.63333,23.78333,1186,204,35,55.97439,501,122,371,171,8
40,973787008,Icterus auratus,21.571728,-88.14099,11,2013,25.70833,11.36667,71.04167,176.94162,33.2,17.2,16,26.91667,24.9,27.45,23.23333,752,125,18,53.10976,305,75,263,123,6
41,973273347,Icterus auratus,20.368225,-87.335365,11,2013,25.92083,10.24167,68.73602,169.87239,32.8,17.9,14.9,27.08333,24.96667,27.71667,23.61667,1240,209,36,55.58554,530,128,393,176,6
42,973221500,Icterus auratus,18.138283,-87.86916,6,1994,26.5625,7.04167,64.60244,152.71967,31.7,20.8,10.9,26.76667,25.86667,28.03333,24.46667,1371,203,29,52.00566,573,112,384,260,8
43,972863626,Icterus auratus,20.211857,-87.463356,12,1999,25.9,10.66667,70.64018,160.12776,32.8,17.7,15.1,26.96667,25.06667,27.55,23.7,1181,201,36,54.66366,492,124,368,177,6
44,972358419,Icterus auratus,21.52897,-87.25754,3,2010,25.48333,10.98333,68.64584,192.39325,33,17,16,27,24.2,27.48333,22.9,1057,179,31,54.59487,434,112,385,136,3
45,971921663,Icterus auratus,19.5803,-88.0441,8,2013,26.12917,11.55833,70.05051,171.98651,34,17.5,16.5,27.23333,25.26667,27.85,23.76667,1263,212,38,55.65055,531,128,404,157,15
46,971089880,Icterus auratus,21.561253,-88.19271,11,2013,25.72083,11.325,70.78125,177.20634,33.2,17.2,16,26.93333,24.9,27.45,23.23333,786,133,19,55.88242,328,74,285,121,4
48,971054867,Icterus auratus,20.692213,-87.01876,4,2003,26.18333,9.58333,64.31767,191.5764,33.2,18.3,14.9,27.48333,25.08333,28.26667,23.63333,1334,212,36,52.87341,563,138,414,202,5
50,970747489,Icterus auratus,20.612381,-87.93491,11,2013,25.725,13.61667,71.29145,182.3022,34.8,15.7,19.1,27.33333,23.73333,27.66667,23.26667,1129,171,42,55.94578,474,133,373,136,24
51,969575155,Icterus auratus,20.365835,-87.3366,10,2013,25.9375,10.20833,68.97523,168.83458,32.8,18,14.8,27.08333,24.98333,27.73333,23.65,1236,209,36,56.00535,530,128,393,172,5
52,969192750,Icterus auratus,20.684586,-89.65305,10,2013,25.94167,14.1,67.14286,203.46803,36.6,15.6,21,27.16667,25.63333,28.11667,23.16667,1084,187,24,72.79818,538,79,259,99,14
53,968864343,Icterus auratus,20.892887,-88.13848,10,2013,25.73333,14,71.42857,184.11131,35.2,15.6,19.6,27.26667,23.81667,27.68333,23.23333,1248,197,37,59.7804,547,122,446,138,24
54,968857228,Icterus auratus,20.834587,-88.05297,10,2013,25.8,14.01667,71.88034,181.52135,35.2,15.7,19.5,27.33333,23.9,27.7,23.33333,1160,179,39,58.22744,502,122,409,129,21
55,967728963,Icterus auratus,19.862453,-90.515884,10,2013,26.73333,12.3,65.7754,200.98997,36.2,17.5,18.7,28.03333,26.21667,28.85,23.98333,1141,228,16,84.5106,604,54,410,78,10
56,966661610,Icterus auratus,20.36111,-89.770546,4,1991,25.55,14.13333,66.66666,208.40302,36.2,15,21.2,26.86667,23.56667,27.73333,22.7,1105,202,22,73.3945,540,80,284,82,53
57,965976592,Icterus auratus,19.606642,-89.054886,8,2013,25.56667,14.23333,69.77124,191.43399,35.7,15.3,20.4,27,23.71667,27.48333,22.91667,1046,178,25,62.0328,455,85,370,107,88
