species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,20.39639,-87.31111,6,2011,986089623
Icterus auratus,20.8625,-87.04917,3,2011,985132034
Icterus auratus,20.62389,-87.07667,3,2011,985124182
Icterus auratus,20.85917,-90.4,3,2010,985035008
Icterus auratus,20.1035,-87.4978,6,1991,984936534
Icterus auratus,21.091707,-89.60029,12,2010,984824510
Icterus auratus,18.71611,-87.70722,6,2010,984714367
Icterus auratus,21.16111,-86.83361,6,2008,984187842
Icterus auratus,20.20806,-87.46639,6,2003,981904282
Icterus auratus,21.5125,-87.67944,3,2007,981574079
Icterus auratus,20.681839,-88.5692,5,2008,980316841
Icterus auratus,20.426973,-87.29262,3,2010,979885759
Icterus auratus,20.845016,-86.902725,10,2008,979718341
Icterus auratus,20.354664,-87.38019,12,2013,979374132
Icterus auratus,20.21604,-87.43462,1,2003,979008622
Icterus auratus,20.442173,-86.99427,2,1992,978766066
Icterus auratus,20.078562,-87.6111,2,2013,978659548
Icterus auratus,21.175447,-89.53102,4,2013,978570139
Icterus auratus,20.319376,-87.357834,4,1995,977818841
Icterus auratus,20.359625,-89.77055,4,2011,977783677
Icterus auratus,21.567417,-88.110695,12,2013,977760404
Icterus auratus,20.214533,-87.429146,11,2006,977661697
Icterus auratus,21.571148,-88.15559,7,2012,977599779
Icterus auratus,20.676647,-88.5691,11,1996,977425470
Icterus auratus,20.56851,-88.51333,12,2013,977340719
Icterus auratus,20.394377,-87.315506,3,2007,977227821
Icterus auratus,18.732037,-88.35324,4,2005,977111581
Icterus auratus,18.778984,-87.742035,4,2005,977069361
Icterus auratus,21.042786,-89.65451,1,2013,977041861
Icterus auratus,20.35963,-89.77055,12,2013,976811197
Icterus auratus,20.478361,-87.25981,4,2008,976689485
Icterus auratus,20.858755,-86.991005,3,2010,976642725
Icterus auratus,20.129635,-87.5834,3,2009,975632854
Icterus auratus,20.425556,-87.29893,1,2012,975013198
Icterus auratus,20.985804,-87.21359,12,2013,974730816
Icterus auratus,21.560295,-88.04036,12,2013,974704872
Icterus auratus,21.330315,-86.92383,12,2013,974703715
Icterus auratus,20.232563,-87.49649,3,2010,974685086
Icterus auratus,20.18652,-87.442635,1,2011,974475833
Icterus auratus,21.59583,-88.15962,12,2013,974138250
Icterus auratus,19.626913,-87.94688,11,2013,973871666
Icterus auratus,21.571728,-88.14099,11,2013,973787008
Icterus auratus,20.368225,-87.335365,11,2013,973273347
Icterus auratus,18.138283,-87.86916,6,1994,973221500
Icterus auratus,20.211857,-87.463356,12,1999,972863626
Icterus auratus,20.89101,-88.13636,3,2010,972359427
Icterus auratus,21.52897,-87.25754,3,2010,972358419
Icterus auratus,20.612381,-87.93491,11,2013,972203121
Icterus auratus,21.560135,-88.04192,3,2013,971564033
Icterus auratus,20.692213,-87.01876,4,2003,971054867
Icterus auratus,20.684586,-89.65305,10,2013,969210080
Icterus auratus,20.834587,-88.05297,10,2013,968857228
Icterus auratus,20.98952,-90.29965,8,1994,968101028
Icterus auratus,20.581158,-87.14243,8,1994,968078174
Icterus auratus,19.862453,-90.515884,10,2013,967728963
Icterus auratus,20.86234,-87.04811,9,2013,967329709
Icterus auratus,18.113344,-89.80331,5,2006,962442091
Icterus auratus,19.171112,-88.54706,5,2006,962433467
Icterus auratus,20.812279,-89.45158,7,2013,961494823
Icterus auratus,20.659296,-89.36992,7,2013,961491684
Icterus auratus,20.372454,-87.35283,2,2009,960998479
Icterus auratus,21.050304,-86.85011,7,2013,960733714
Icterus auratus,20.357222,-89.768974,7,2013,960480656
Icterus auratus,20.359735,-89.77055,3,1989,960222856
Icterus auratus,20.563206,-87.17995,5,2010,959945503
Icterus auratus,20.177711,-89.65208,5,2007,959590341
Icterus auratus,20.35879,-89.77203,5,2007,959587729
Icterus auratus,20.986044,-89.61754,5,2013,959143841
Icterus auratus,20.488255,-87.73732,7,2013,959087392
Icterus auratus,20.756817,-86.96104,10,2010,958880251
Icterus auratus,20.372162,-87.34117,6,2013,958868466
Icterus auratus,20.21565,-87.43126,6,2013,958856877
Icterus auratus,20.105556,-89.55111,5,2013,958174169
Icterus auratus,20.08965,-89.55073,5,2013,956660078
Icterus auratus,20.08735,-89.55058,5,2013,956643420
Icterus auratus,20.307505,-89.64908,6,2013,956224361
Icterus auratus,20.358307,-89.77161,6,2013,956207393
Icterus auratus,21.120453,-86.83233,5,2013,954881230
Icterus auratus,20.981089,-86.82988,4,2013,949242512
