species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-89.53102,21.175447,978570139,4,2013,"c(-89.53102, 21.175447)",7,25.887500762939453,11.941666603088379,65.97605895996094,196.80543518066406,34.79999923706055,16.700000762939453,18.099998474121094,27.266666412353516,25.383333206176758,27.883333206176758,23.149999618530273,807,145,21,62.70752716064453,349,72,267,105
Icterus auratus,-88.5691,20.676647,977425470,11,1996,"c(-88.5691, 20.676647)",34,25.799999237060547,14.100000381469727,70.14925384521484,187.09500122070313,35.70000076293945,15.600000381469727,20.100000381469727,27.21666717529297,23.916667938232422,27.766666412353516,23.25,1218,207,30,64.58815002441406,559,105,433,123
Icterus auratus,-88.04036,21.560295,974704872,12,2013,"c(-88.04036, 21.560295)",6,25.700000762939453,11.533332824707031,71.19342041015625,178.69473266601563,33.29999923706055,17.100000381469727,16.19999885559082,26.966665267944336,24.799999237060547,27.483333587646484,23.21666717529297,782,130,21,53.89358139038086,321,79,278,121
Icterus auratus,-87.94688,19.626913,973871666,11,2013,"c(-87.94688, 19.626913)",16,26.0625,11.158332824707031,70.17820739746094,169.61351013183594,33.599998474121094,17.700000762939453,15.89999771118164,27.233333587646484,25.133333206176758,27.766666412353516,23.75,1271,211,38,54.04878616333008,529,131,441,168
Icterus auratus,-87.86916,18.138283,973221500,6,1994,"c(-87.86916, 18.138283)",8,26.5625,7.0416669845581055,64.6024398803711,152.71966552734375,31.700000762939453,20.799999237060547,10.900001525878906,26.766666412353516,25.866666793823242,28.03333282470703,24.46666717529297,1371,203,29,52.00565719604492,573,112,384,260
Icterus auratus,-90.29965,20.98952,968101028,8,1994,"c(-90.29965, 20.98952)",3,26.40416717529297,11.308333396911621,69.37627410888672,179.91738891601563,34.400001525878906,18.100000381469727,16.30000114440918,27.866666793823242,25.66666603088379,28.183334350585938,23.866666793823242,674,128,9,76.819000244140625,334,38,243,66
Icterus auratus,-88.54706,19.171112,962433467,5,2006,"c(-88.54706, 19.171112)",24,25.891666412353516,12.933333396911621,73.904754638671875,159.35716247558594,34.400001525878906,16.899999618530273,17.500001907348633,26.850000381469727,25.33333396911621,27.450000762939453,23.66666603088379,1075,172,30,56.055145263671875,451,99,353,131
Icterus auratus,-89.65208,20.177711,959590341,5,2007,"c(-89.65208, 20.177711)",71,25.508333206176758,14.066665649414063,66.66667175292969,206.3407745361328,36.099998474121094,15,21.099998474121094,26.816665649414063,23.583332061767578,27.66666603088379,22.683332443237305,1084,202,22,71.83370208740234,522,83,283,88
Icterus auratus,-87.89337,21.550047,935983670,11,2012,"c(-87.89337, 21.550047)",4,25.629165649414063,11.591666221618652,71.55350494384766,184.48277282714844,33.29999923706055,17.100000381469727,16.19999885559082,26.96666717529297,24.616666793823242,27.5,23.08333396911621,782,129,25,53.93209457397461,322,85,279,114
Icterus auratus,-88.96656,20.63856,863440387,3,1925,"c(-88.96656, 20.63856)",27,25.71666717529297,13.883333206176758,68.39080047607422,195.347412109375,35.900001525878906,15.600000381469727,20.30000114440918,27.049999237060547,23.83333396911621,27.733333587646484,23.03333282470703,1101,192,25,65.70489501953125,510,90,390,113
Icterus auratus,-87.016174,20.381155,829704375,3,2011,"c(-87.016174, 20.381155)",11,26.22916603088379,8.408332824707031,63.69948959350586,174.59640502929688,32.400001525878906,19.200000762939453,13.200000762939453,27.433334350585938,25.149999618530273,28.133333206176758,23.899999618530273,1412,238,33,52.716270446777344,582,145,417,242
Icterus auratus,-89.00009,19.985207,829381853,10,2005,"c(-89.00009, 19.985207)",42,25.78333282470703,14.966667175292969,68.97081756591797,200.1060333251953,36.599998474121094,14.899999618530273,21.69999885559082,27.200000762939453,23.83333396911621,27.833332061767578,23.03333282470703,1178,206,28,63.37984085083008,524,100,414,109
Icterus auratus,-87.7375,20.165545,590095524,3,2011,"c(-87.7375, 20.165545)",24,25.64583396911621,11.841666221618652,71.33534240722656,171.54983520507813,33.29999923706055,16.700000762939453,16.599998474121094,26.816665649414063,24.71666717529297,27.399999618530273,23.299999237060547,1173,188,39,54.495906829833984,498,128,400,154
Icterus auratus,-89.63749,18.50008,589954101,12,2011,"c(-89.63749, 18.50008)",212,25.329166412353516,13.42500114440918,69.55958557128906,195.20919799804688,35,15.699999809265137,19.299999237060547,26.16666603088379,25.016666412353516,27.299999237060547,22.666667938232422,1045,200,23,64.62077331542969,473,76,339,116
