species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_03,bio_04,bio_07,bio_08,bio_09,bio_11,bio_14,bio_16,bio_18,cluster
Icterus auratus,-89.53102,21.175447,978570139,4,2013,"c(-89.53102, 21.175447)",7,65.97605895996094,196.80543518066406,18.099998474121094,27.266666412353516,25.383333206176758,23.149999618530273,21,349,267,3
Icterus auratus,-88.5691,20.676647,977425470,11,1996,"c(-88.5691, 20.676647)",34,70.14925384521484,187.09500122070313,20.100000381469727,27.21666717529297,23.916667938232422,23.25,30,559,433,2
Icterus auratus,-88.04036,21.560295,974704872,12,2013,"c(-88.04036, 21.560295)",6,71.19342041015625,178.69473266601563,16.19999885559082,26.966665267944336,24.799999237060547,23.21666717529297,21,321,278,3
Icterus auratus,-87.94688,19.626913,973871666,11,2013,"c(-87.94688, 19.626913)",16,70.17820739746094,169.61351013183594,15.89999771118164,27.233333587646484,25.133333206176758,23.75,38,529,441,5
Icterus auratus,-87.86916,18.138283,973221500,6,1994,"c(-87.86916, 18.138283)",8,64.6024398803711,152.71966552734375,10.900001525878906,26.766666412353516,25.866666793823242,24.46666717529297,29,573,384,5
Icterus auratus,-90.29965,20.98952,968101028,8,1994,"c(-90.29965, 20.98952)",3,69.37627410888672,179.91738891601563,16.30000114440918,27.866666793823242,25.66666603088379,23.866666793823242,9,334,243,3
Icterus auratus,-88.54706,19.171112,962433467,5,2006,"c(-88.54706, 19.171112)",24,73.904754638671875,159.35716247558594,17.500001907348633,26.850000381469727,25.33333396911621,23.66666603088379,30,451,353,5
Icterus auratus,-87.89337,21.550047,935983670,11,2012,"c(-87.89337, 21.550047)",4,71.55350494384766,184.48277282714844,16.19999885559082,26.96666717529297,24.616666793823242,23.08333396911621,25,322,279,3
Icterus auratus,-88.96656,20.63856,863440387,3,1925,"c(-88.96656, 20.63856)",27,68.39080047607422,195.347412109375,20.30000114440918,27.049999237060547,23.83333396911621,23.03333282470703,25,510,390,2
Icterus auratus,-87.016174,20.381155,829704375,3,2011,"c(-87.016174, 20.381155)",11,63.69948959350586,174.59640502929688,13.200000762939453,27.433334350585938,25.149999618530273,23.899999618530273,33,582,417,5
Icterus auratus,-89.00009,19.985207,829381853,10,2005,"c(-89.00009, 19.985207)",42,68.97081756591797,200.1060333251953,21.69999885559082,27.200000762939453,23.83333396911621,23.03333282470703,28,524,414,2
Icterus auratus,-87.7375,20.165545,590095524,3,2011,"c(-87.7375, 20.165545)",24,71.33534240722656,171.54983520507813,16.599998474121094,26.816665649414063,24.71666717529297,23.299999237060547,39,498,400,2
Icterus auratus,-90.12222,19.984964,588678328,12,2010,"c(-90.12222, 19.984964)",55,65.547271728515625,204.5740966796875,20.099998474121094,27.46666717529297,25.950000762939453,23.450000762939453,19,591,281,4
Icterus auratus,-87.395619,20.458334,5844002991,4,2025,"c(-87.395619, 20.458334)",6,68.85416412353516,180.64280700683594,16,26.91666603088379,24.616666793823242,23.200000762939453,41,526,401,2
Icterus auratus,-86.899729,20.850965,5837687439,9,2025,"c(-86.899729, 20.850965)",7,64.56954193115234,194.59161376953125,15.099998474121094,27.516666412353516,25,23.58333396911621,40,516,383,5
Icterus auratus,-87.420752,20.550122000000002,5759827636,11,2012,"c(-87.420752, 20.550122)",21,69.00406646728516,183.8827667236328,16.399999618530273,26.78333282470703,24.433332443237305,23.016666412353516,44,531,413,2
Icterus auratus,-91.91162,18.051283,5716022486,11,2020,"c(-91.91162, 18.051283)",3,63.259666442871094,209.17588806152344,18.100000381469727,27.66666603088379,26.483333587646484,23.899999618530273,41,795,349,4
Icterus auratus,-88.30664,21.008604,5716003049,1,2024,"c(-88.30664, 21.008604)",26,71.005157470703125,183.8245849609375,19.39999771118164,27.133333206176758,23.71666717529297,23.116666793823242,36,599,485,2
Icterus auratus,-89.60715,20.62413,5714767852,5,2015,"c(-89.60715, 20.62413)",16,67.29560089111328,205.50196838378906,21.19999885559082,27.100000381469727,25.516666412353516,23.049999237060547,24,538,265,3
Icterus auratus,-87.422005,20.941805,5714066937,8,2013,"c(-87.422005, 20.941805)",16,70.04631042480469,193.415771484375,17.999998092651367,26.71666717529297,24.200000762939453,22.71666717529297,45,557,459,2
Icterus auratus,-89.585045,20.968843,5711552475,4,2018,"c(-89.585045, 20.968843)",11,68.427825927734375,193.72496032714844,19.400001525878906,27.733333587646484,25.933334350585938,23.75,23,454,354,3
Icterus auratus,-90.37575,19.722431,5710914126,6,2019,"c(-90.37575, 19.722431)",20,64.46700286865234,210.53863525390625,19.700000762939453,27.71666717529297,26.049999237060547,23.58333396911621,19,638,274,4
Icterus auratus,-87.028114,20.687256,5710329003,5,2015,"c(-87.028114, 20.687256)",9,64.63964080810547,191.41616821289063,14.799999237060547,27.433332443237305,25.066665649414063,23.616666793823242,36,566,417,5
Icterus auratus,-89.552475,21.306982,5708717064,12,2024,"c(-89.552475, 21.306982)",2,65.75269317626953,188.31137084960938,15.499998092651367,27.08333396911621,25.16666603088379,23.299999237060547,20,302,217,3
Icterus auratus,-86.96919,20.476680000000002,5699912762,1,2024,"c(-86.96919, 20.47668)",6,62.59541702270508,179.41192626953125,13.100000381469727,27.600000381469727,25.266666412353516,23.983333587646484,33,598,428,5
Icterus auratus,-89.74814,20.692623,5699671443,5,2019,"c(-89.74814, 20.692623)",11,67.56097412109375,198.8470458984375,20.5,27.200000762939453,25.683332443237305,23.266666412353516,23,535,260,3
Icterus auratus,-87.03606,21.009216,5699206908,6,2022,"c(-87.03606, 21.009216)",18,66.06060791015625,203.89761352539063,16.5,27.100000381469727,24.399999618530273,22.899999618530273,42,511,405,2
Icterus auratus,-88.30458,19.926323,5695730285,3,2017,"c(-88.30458, 19.926323)",28,70.8987808227539,180.11517333984375,19.099998474121094,26.950000762939453,25.116666793823242,23.433334350585938,34,499,384,2
Icterus auratus,-88.26631,20.608547,5695719579,6,2024,"c(-88.26631, 20.608547)",26,70.77052307128906,184.18739318847656,19.899999618530273,27.316665649414063,23.899999618530273,23.33333396911621,32,528,416,2
Icterus auratus,-88.33453,20.310635,5689860221,10,2024,"c(-88.33453, 20.310635)",32,70.85426330566406,182.9410400390625,19.900001525878906,27.299999237060547,23.883333206176758,23.316665649414063,34,523,400,2
Icterus auratus,-90.25967,20.852379,5687098908,6,2021,"c(-90.25967, 20.852379)",4,70.28571319580078,178.95953369140625,17.5,27.816665649414063,25.883333206176758,23.933334350585938,10,379,282,3
Icterus auratus,-86.80038,21.147558,5686467188,3,2024,"c(-86.80038, 21.147558)",1,66.1358871459961,196.4051971435547,15.69999885559082,27.883333206176758,25.133333206176758,23.83333396911621,38,499,395,5
Icterus auratus,-88.23345,19.001797,5681672450,12,2016,"c(-88.23345, 19.001797)",12,72.06195831298828,155.74539184570313,15.60000228881836,27.016666412353516,25.25,23.766666412353516,37,540,471,5
Icterus auratus,-88.1691,19.169348,5680993752,12,2024,"c(-88.1691, 19.169348)",12,73.268402099609375,157.1454620361328,15.399999618530273,27.100000381469727,25.233333587646484,23.83333396911621,39,531,468,5
