species,decimalLongitude,decimalLatitude
Icterus auratus,-89.53102,21.175447
Icterus auratus,-88.5691,20.676647
Icterus auratus,-87.86916,18.138283
Icterus auratus,-87.25754,21.52897
Icterus auratus,-88.54706,19.171112
Icterus auratus,-89.65208,20.177711
Icterus auratus,-89.64908,20.307505
Icterus auratus,-87.96446,19.687845
Icterus auratus,-87.30984,20.398819
Icterus auratus,-87.89337,21.550047
Icterus auratus,-88.96656,20.63856
Icterus auratus,-86.96136,20.75933
Icterus auratus,-87.016174,20.381155
Icterus auratus,-89.00009,19.985207
Icterus auratus,-87.7375,20.165545
Icterus auratus,-89.63749,18.50008
Icterus auratus,-90.12222,19.984964
Icterus auratus,-89.81117,18.11714
Icterus auratus,-89.49188,18.827623
Icterus auratus,-87.420752,20.550122
Icterus auratus,-91.91162,18.051283
Icterus auratus,-88.23869,21.412058
Icterus auratus,-90.20475,18.158493
Icterus auratus,-89.60715,20.62413
Icterus auratus,-90.37575,19.722431
Icterus auratus,-88.22016,20.00443
Icterus auratus,-89.72453,20.116982
Icterus auratus,-89.552475,21.306982
Icterus auratus,-90.218834,20.365643
Icterus auratus,-89.30374,18.610947
Icterus auratus,-88.252,21.54
Icterus auratus,-87.81492,19.72106
Icterus auratus,-88.42919,21.415989
Icterus auratus,-88.34098,18.757233
Icterus auratus,-88.30458,19.926323
Icterus auratus,-88.26631,20.608547
Icterus auratus,-87.77248,19.921793
Icterus auratus,-88.33453,20.310635
Icterus auratus,-89.748375,20.690672
Icterus auratus,-89.115204,21.344177
Icterus auratus,-88.23345,19.001797
Icterus auratus,-88.03,20.418648
Icterus auratus,-88.35431,18.3543
Icterus auratus,-90.51413,19.753605
Icterus auratus,-87.64019,18.891724
Icterus auratus,-88.73353,19.793922
Icterus auratus,-87.63313,19.870533
Icterus auratus,-87.12879,20.93675
Icterus auratus,-87.67454,21.1223
Icterus auratus,-88.57482,20.77285
Icterus auratus,-90.22367,19.767757
Icterus auratus,-89.791466,20.879042
Icterus auratus,-87.215996,20.616772
Icterus auratus,-89.953224,20.56184
Icterus auratus,-88.47706,18.499718
Icterus auratus,-90.13568,20.86555
Icterus auratus,-89.48922,20.538708
Icterus auratus,-87.57482,20.345404
Icterus auratus,-88.56188,19.390064
Icterus auratus,-88.32094,21.348877
Icterus auratus,-88.63452,21.368711
Icterus auratus,-90.104706,20.239384
Icterus auratus,-89.8105,19.87197
Icterus auratus,-88.65751,20.594501
Icterus auratus,-87.75977,21.43489
Icterus auratus,-90.60297,19.793497
Icterus auratus,-88.43552,20.793173
Icterus auratus,-88.37336,20.196558
Icterus auratus,-88.50111,20.574057
Icterus auratus,-87.57079,21.164263
Icterus auratus,-89.17713,20.857388
Icterus auratus,-89.06989,18.11049
Icterus auratus,-89.473595,20.868605
Icterus auratus,-88.20807,20.745129
Icterus auratus,-90.37924,19.940128
Icterus auratus,-89.78773,20.410702
Icterus auratus,-90.37073,20.943945
Icterus auratus,-89.89499,20.67082
Icterus auratus,-86.84454,20.938356
Icterus auratus,-87.8465,21.1173
Icterus auratus,-88.09009,20.967875
Icterus auratus,-87.023445,20.837942
Icterus auratus,-87.995255,20.658453
Icterus auratus,-88.478096,18.229753
Icterus auratus,-89.000244,18.338884
Icterus auratus,-89.565025,20.049356
Icterus auratus,-87.42895,21.351906
Icterus auratus,-89.3343,20.527807
Icterus auratus,-87.392105,20.32394
Icterus auratus,-90.39773,20.847351
Icterus auratus,-89.86059,21.01141
Icterus auratus,-90.03736,20.324217
Icterus auratus,-87.60888,21.3616
Icterus auratus,-89.63058,20.73443
Icterus auratus,-89.735,20.989021
Icterus auratus,-90.0961,20.731657
Icterus auratus,-89.97602,21.10288
Icterus auratus,-87.88788,18.771114
Icterus auratus,-89.29164,18.81114
Icterus auratus,-87.59657,19.782213
Icterus auratus,-87.63576,20.875832
Icterus auratus,-89.397766,21.080505
Icterus auratus,-92.24068,18.629314
Icterus auratus,-90.22571,19.96524
Icterus auratus,-87.678116,18.784073
Icterus auratus,-88.16381,21.328188
Icterus auratus,-88.45848,20.671953
Icterus auratus,-89.03126,21.28115
Icterus auratus,-90.41323,20.088066
Icterus auratus,-87.64328,21.456984
Icterus auratus,-88.167496,19.15309
Icterus auratus,-87.48377,20.806067
Icterus auratus,-88.001305,21.138948
Icterus auratus,-89.300285,20.947367
Icterus auratus,-88.16082,21.097563
Icterus auratus,-87.0536,21.009432
Icterus auratus,-87.203125,21.00894
Icterus auratus,-90.868095,18.615746
Icterus auratus,-90.6508,19.272518
Icterus auratus,-88.468765,21.173319
Icterus auratus,-90.37024,20.534384
Icterus auratus,-87.662224,20.594604
Icterus auratus,-89.48223,19.976543
Icterus auratus,-87.49723,20.290648
Icterus auratus,-88.84276,20.558008
Icterus auratus,-90.39653,19.407722
Icterus auratus,-87.956633,21.457256
Icterus auratus,-89.644087,21.276862
Icterus auratus,-89.25293,18.16249
Icterus auratus,-87.458592,20.193298
Icterus auratus,-87.681976,21.001025
Icterus auratus,-88.13745,20.400127
Icterus auratus,-87.392978,20.457151
Icterus auratus,-88.152757,20.490875
Icterus auratus,-88.960175,20.861153
Icterus auratus,-90.089572,20.608227
Icterus auratus,-89.630472,21.154138
Icterus auratus,-89.825526,18.52462
Icterus auratus,-89.579894,20.948176
Icterus auratus,-88.309348,20.98664
Icterus auratus,-90.496468,19.865428
Icterus auratus,-89.71075,20.597141
Icterus auratus,-88.064574,21.551983
Icterus auratus,-89.3268,20.742056
Icterus auratus,-88.75811,19.276339
Icterus auratus,-87.85459,18.89773
Icterus auratus,-89.73177,21.122993
Icterus auratus,-90.21553,20.645855
Icterus auratus,-88.284325,21.244473
Icterus auratus,-90.43962,20.683733
Icterus auratus,-90.07643,18.175377
Icterus auratus,-88.16145,20.601078
Icterus auratus,-89.31491,19.234524
Icterus auratus,-90.27197,18.634598
Icterus auratus,-88.145615,20.892458
Icterus auratus,-86.81552,21.140772
Icterus auratus,-90.66114,18.789932
Icterus auratus,-90.01437,20.438253
Icterus auratus,-88.16584,18.925327
Icterus auratus,-88.307625,21.109913
Icterus auratus,-88.05456,20.818342
Icterus auratus,-88.073975,21.37041
Icterus auratus,-87.09391,20.605003
Icterus auratus,-88.945496,21.020346
Icterus auratus,-87.58147,19.081087
Icterus auratus,-87.346214,21.424149
Icterus auratus,-88.9178,19.85503
Icterus auratus,-88.86095,19.927872
Icterus auratus,-89.88198,20.485258
Icterus auratus,-87.951164,20.799763
Icterus auratus,-89.74153,20.789938
Icterus auratus,-89.58871,20.488605
Icterus auratus,-89.01852,20.935822
Icterus auratus,-88.40558,18.657244
Icterus auratus,-90.319786,19.026741
Icterus auratus,-88.395966,18.095745
Icterus auratus,-88.22438,17.513975
Icterus auratus,-86.9408,20.937183
Icterus auratus,-89.84302,21.247922
Icterus auratus,-89.461352,20.62911
Icterus auratus,-89.532958,20.37362
Icterus auratus,-89.412431,20.298355
Icterus auratus,-89.204874,19.901015
Icterus auratus,-87.147228,20.69976
Icterus auratus,-87.745964,20.5267
Icterus auratus,-86.895256,20.537281
Icterus auratus,-88.398125,19.50837
Icterus auratus,-89.8684,20.091715
Icterus auratus,-88.59361,19.497042
Icterus auratus,-87.73745,21.525213
Icterus auratus,-88.19902,18.209017
Icterus auratus,-87.907074,18.026096
Icterus auratus,-88.04199,19.486948
Icterus auratus,-89.132904,20.942081
Icterus auratus,-87.76093,18.610376
Icterus auratus,-86.945076,21.255795
Icterus auratus,-88.47099,18.403303
Icterus auratus,-89.89874,18.409355
Icterus auratus,-87.75384,21.34191
Icterus auratus,-88.76739,18.660864
Icterus auratus,-89.30559,18.460016
Icterus auratus,-88.73074,20.706907
Icterus auratus,-87.349174,21.274958
Icterus auratus,-88.290054,18.084333
Icterus auratus,-87.526825,20.897635
Icterus auratus,-89.40552,18.301607
Icterus auratus,-92.09102,18.25438
Icterus auratus,-87.55206,20.172508
Icterus auratus,-88.775604,19.878832
Icterus auratus,-90.449234,19.509584
Icterus auratus,-89.794075,20.294176
Icterus auratus,-87.33034,20.823301
Icterus auratus,-88.46017,19.362133
Icterus auratus,-89.86892,20.757416
Icterus auratus,-89.05886,20.581036
Icterus auratus,-88.93462,19.629251
Icterus auratus,-90.43779,19.639183
Icterus auratus,-88.083305,19.72291
Icterus auratus,-90.365,19.818333
Icterus auratus,-88.157906,21.599287
Icterus auratus,-88.84223,20.77072
Icterus auratus,-89.74973,20.006081
Icterus auratus,-87.466093,21.106523
Icterus auratus,-87.775192,19.352836
Icterus auratus,-89.417361,18.588683
Icterus auratus,-88.317695,20.717302
Icterus auratus,-87.43448,21.213264
Icterus auratus,-87.47884,20.07021
Icterus auratus,-89.18332,21.231054
Icterus auratus,-86.9357,20.312443
Icterus auratus,-88.25693,20.23723
Icterus auratus,-89.830025,19.741692
Icterus auratus,-87.34814,21.018095
Icterus auratus,-87.921745,20.893639
Icterus auratus,-88.30703,18.46494
Icterus auratus,-88.633194,21.111277
Icterus auratus,-87.1746,21.11125
Icterus auratus,-88.10877,19.022047
Icterus auratus,-88.77184,19.709044
Icterus auratus,-87.3233,20.918785
Icterus auratus,-89.640945,20.87474
Icterus auratus,-89.62556,19.717003
Icterus auratus,-87.81211,20.003881
Icterus auratus,-90.191925,20.142101
Icterus auratus,-89.426216,21.317003
Icterus auratus,-88.262665,19.4504
Icterus auratus,-87.58705,20.722261
Icterus auratus,-89.1896,20.756153
Icterus auratus,-89.08775,20.032965
Icterus auratus,-89.33672,17.969114
Icterus auratus,-92.09307,18.112595
Icterus auratus,-88.536476,19.301214
Icterus auratus,-86.82101,21.269314
Icterus auratus,-86.811828,21.02662
Icterus auratus,-92.506816,18.063721
Icterus auratus,-91.093056,19.021944
Icterus auratus,-91.833056,18.264418
Icterus auratus,-91.21731,18.97426
Icterus auratus,-92.490706,18.57994
Icterus auratus,-87.475174,20.981451
Icterus auratus,-87.856316,18.271118
Icterus auratus,-89.956924,21.194832
Icterus auratus,-89.39726,18.055655
Icterus auratus,-88.26014,20.50501
Icterus auratus,-88.168335,21.193813
Icterus auratus,-90.51091,18.785114
Icterus auratus,-89.01611,20.1725
Icterus auratus,-89.46694,20.985434
Icterus auratus,-88.322266,20.872786
Icterus auratus,-90.318344,20.171278
Icterus auratus,-88.05996,19.39006
Icterus auratus,-88.868645,21.39302
Icterus auratus,-87.72329,21.247343
Icterus auratus,-88.48918,18.916744
Icterus auratus,-90.706795,19.567167
Icterus auratus,-88.23379,18.603529
Icterus auratus,-89.288625,21.322235
Icterus auratus,-89.416904,20.792959
Icterus auratus,-88.78146,19.030615
Icterus auratus,-89.26937,21.052189
Icterus auratus,-88.76465,21.005556
Icterus auratus,-89.16382,18.822441
Icterus auratus,-89.294136,19.781113
Icterus auratus,-89.77923,20.510527
Icterus auratus,-90.1944,20.782185
Icterus auratus,-89.10523,18.44431
Icterus auratus,-89.923294,18.540985
Icterus auratus,-88.13516,18.342237
