species,month,year,gbifID,geometry,decimalLatitude,decimalLongitude,elev,ID,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,6,2011,986089623,"c(-87.31111, 20.39639)",20.39639,-87.31111,3,1,25.945833206176758,27.80000114440918,23.600000381469727,1252,210,36,55.73525619506836,537,129,399,177,10.17500114440918,67.83332824707031,173.95741271972656,32.900001525878906,17.899999618530273,15.000001907348633,27.116666793823242,24.96666717529297
Icterus auratus,3,2011,985132034,"c(-87.04917, 20.8625)",20.8625,-87.04917,13,2,25.758333206176758,27.91666603088379,23.100000381469727,1300,200,43,48.57878112792969,530,149,406,209,10.383333206176758,64.89582824707031,199.31512451171875,33.20000076293945,17.200000762939453,16,27.183334350585938,24.549999237060547
Icterus auratus,3,2011,985124182,"c(-87.07667, 20.62389)",20.62389,-87.07667,10,3,26.299999237060547,28.350000381469727,23.78333282470703,1339,219,35,54.444820404052734,569,138,419,196,9.850000381469727,65.66667175292969,188.83616638183594,33.20000076293945,18.200000762939453,15,27.566667556762695,25.25
Icterus auratus,3,2010,985035008,"c(-90.4, 20.85917)",20.85917,-90.4,3,4,26.52916717529297,28.233333587646484,24.049999237060547,735,140,8,80.078857421875,378,36,270,70,11.091667175292969,70.20042419433594,175.1033172607422,34.29999923706055,18.5,15.799999237060547,27.96666717529297,25.766666412353516
Icterus auratus,6,1991,984936534,"c(-87.4978, 20.1035)",20.1035,-87.4978,-1,5,26.120832443237305,27.766666412353516,23.950000762939453,1211,199,35,54.012603759765625,505,123,380,183,10.574999809265137,70.97315216064453,159.0662841796875,33,18.100000381469727,14.899999618530273,27.21666717529297,25.25
Icterus auratus,12,2010,984824510,"c(-89.60029, 21.091707)",21.091707,-89.60029,9,6,25.912500381469727,27.933334350585938,23.183334350585938,869,153,22,65.32465362548828,395,69,300,104,12.241665840148926,65.8154067993164,197.02474975585938,35.20000076293945,16.600000381469727,18.600000381469727,27.233333587646484,25.46666717529297
Icterus auratus,6,2008,984187842,"c(-86.83361, 21.16111)",21.16111,-86.83361,8,8,26.33333396911621,28.5,23.71666717529297,1235,188,41,45.86613845825195,481,142,389,208,10.683333396911621,66.77082824707031,198.0396270751953,33.79999923706055,17.799999237060547,16,27.78333282470703,25.049999237060547
Icterus auratus,6,2003,981904282,"c(-87.46639, 20.20806)",20.20806,-87.46639,10,9,25.89583396911621,27.549999237060547,23.700000762939453,1181,201,35,55.030921936035156,494,122,369,176,10.658332824707031,70.58499908447266,160.38954162597656,32.79999923706055,17.700000762939453,15.099998474121094,26.96666717529297,25.066667556762695
Icterus auratus,3,2007,981574079,"c(-87.67944, 21.5125)",21.5125,-87.67944,3,10,25.487499237060547,27.399999618530273,22.933334350585938,809,133,26,52.29464340209961,331,95,279,120,11.391666412353516,69.88752746582031,187.72711181640625,33.29999923706055,17,16.299999237060547,26.933332443237305,24.28333282470703
Icterus auratus,5,2008,980316841,"c(-88.5692, 20.681839)",20.681839,-88.5692,34,11,25.799999237060547,27.766666412353516,23.25,1218,207,30,64.58815002441406,559,105,433,123,14.100000381469727,70.14925384521484,187.09500122070313,35.70000076293945,15.600000381469727,20.100000381469727,27.21666717529297,23.916667938232422
