species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_03,bio_05,bio_06,bio_10,bio_13,bio_14,bio_17,bio_18,bio_19
Icterus auratus,-87.86916,18.138283,6,1994,973221500,"c(-87.86916, 18.138283)",8,24.46666717529297,203,29,384,64.6024398803711,152.71966552734375,10.900001525878906,26.766666412353516,25.866666793823242
Icterus auratus,-90.29965,20.98952,8,1994,968101028,"c(-90.29965, 20.98952)",3,23.866666793823242,128,9,243,69.37627410888672,179.91738891601563,16.30000114440918,27.866666793823242,25.66666603088379
Icterus auratus,-88.54706,19.171112,5,2006,962433467,"c(-88.54706, 19.171112)",24,23.66666603088379,172,30,353,73.904754638671875,159.35716247558594,17.500001907348633,26.850000381469727,25.33333396911621
Icterus auratus,-89.64908,20.307505,6,2013,956224361,"c(-89.64908, 20.307505)",62,22.5,204,23,283,66.51445770263672,211.93731689453125,21.900001525878906,26.733333587646484,22.5
Icterus auratus,-87.96446,19.687845,2,2013,940909476,"c(-87.96446, 19.687845)",17,23.683334350585938,209,39,438,70.21604919433594,171.86752319335938,16.200000762939453,27.183334350585938,25.116666793823242
Icterus auratus,-88.20747,20.756205,2,2013,940901116,"c(-88.20747, 20.756205)",25,23.316667556762695,196,32,429,71.59864044189453,183.61065673828125,19.599998474121094,27.33333396911621,23.899999618530273
Icterus auratus,-89.88989,18.476118,1,2013,936817329,"c(-89.88989, 18.476118)",163,22.933332443237305,214,25,251,67.88720703125,206.30364990234375,19.80000114440918,26.566667556762695,25.366666793823242
Icterus auratus,-87.89337,21.550047,11,2012,935983670,"c(-87.89337, 21.550047)",4,23.08333396911621,129,25,279,71.55350494384766,184.48277282714844,16.19999885559082,26.96666717529297,24.616666793823242
Icterus auratus,-88.572078,20.772518,11,1945,896276914,"c(-88.572078, 20.772518)",30,23.183334350585938,207,31,444,69.79167175292969,189.04615783691406,19.999998092651367,27.200000762939453,23.866666793823242
Icterus auratus,-88.96656,20.63856,3,1925,863440387,"c(-88.96656, 20.63856)",27,23.03333282470703,192,25,390,68.39080047607422,195.347412109375,20.30000114440918,27.049999237060547,23.83333396911621
Icterus auratus,-89.42444,21.324236,12,2012,832695289,"c(-89.42444, 21.324236)",3,23.149999618530273,135,18,235,67.43827056884766,192.5245819091797,16.19999885559082,27.03333282470703,25.08333396911621
Icterus auratus,-87.016174,20.381155,3,2011,829704375,"c(-87.016174, 20.381155)",11,23.899999618530273,238,33,417,63.69948959350586,174.59640502929688,13.200000762939453,27.433334350585938,25.149999618530273
Icterus auratus,-89.00009,19.985207,10,2005,829381853,"c(-89.00009, 19.985207)",42,23.03333282470703,206,28,414,68.97081756591797,200.1060333251953,21.69999885559082,27.200000762939453,23.83333396911621
Icterus auratus,-87.7375,20.165545,3,2011,590095524,"c(-87.7375, 20.165545)",24,23.299999237060547,188,39,400,71.33534240722656,171.54983520507813,16.599998474121094,26.816665649414063,24.71666717529297
Icterus auratus,-89.63749,18.50008,12,2011,589954101,"c(-89.63749, 18.50008)",212,22.666667938232422,200,23,339,69.55958557128906,195.20919799804688,19.299999237060547,26.16666603088379,25.016666412353516
Icterus auratus,-89.49188,18.827623,2,2009,588192439,"c(-89.49188, 18.827623)",285,21.950000762939453,173,18,328,69.09172058105469,192.08729553222656,18.89999771118164,25.483333587646484,24.25
Icterus auratus,-91.91162,18.051283,11,2020,5716022486,"c(-91.91162, 18.051283)",3,23.899999618530273,295,41,349,63.259666442871094,209.17588806152344,18.100000381469727,27.66666603088379,26.483333587646484
Icterus auratus,-89.499535,21.079304,5,2018,5715847523,"c(-89.499535, 21.079304)",11,23.100000381469727,156,22,210,66.27398681640625,200.79530334472656,19.10000228881836,27.16666603088379,25.433334350585938
Icterus auratus,-89.460266,20.631283,3,2018,5715704055,"c(-89.460266, 20.631283)",15,23.016666412353516,186,25,265,66.7840347290039,207.27078247070313,21.30000114440918,27.100000381469727,23.933334350585938
Icterus auratus,-88.16952,21.19344,2,2016,5715647383,"c(-88.16952, 21.19344)",17,23.066665649414063,196,37,443,71.04811096191406,188.25758361816406,19.399999618530273,27.25,24.899999618530273
Icterus auratus,-90.20475,18.158493,5,2015,5715218616,"c(-90.20475, 18.158493)",160,23.066667556762695,242,29,303,66.83760070800781,208.59376525878906,19.500001907348633,26.816665649414063,25.450000762939453
Icterus auratus,-86.82083,21.280256,1,2014,5714955513,"c(-86.82083, 21.280256)",4,23.299999237060547,194,37,399,64.40397644042969,199.85360717773438,15.099998474121094,27.450000762939453,24.600000381469727
