species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-87.86916,18.138283,6,1994,973221500,"c(-87.86916, 18.138283)",8,26.5625,28.03333282470703,24.46666717529297,1371,203,29,52.00565719604492,573,112,384,260,7.0416669845581055,64.6024398803711,152.71966552734375,31.700000762939453,20.799999237060547,10.900001525878906,26.766666412353516,25.866666793823242
Icterus auratus,-90.29965,20.98952,8,1994,968101028,"c(-90.29965, 20.98952)",3,26.40416717529297,28.183334350585938,23.866666793823242,674,128,9,76.819000244140625,334,38,243,66,11.308333396911621,69.37627410888672,179.91738891601563,34.400001525878906,18.100000381469727,16.30000114440918,27.866666793823242,25.66666603088379
Icterus auratus,-88.54706,19.171112,5,2006,962433467,"c(-88.54706, 19.171112)",24,25.891666412353516,27.450000762939453,23.66666603088379,1075,172,30,56.055145263671875,451,99,353,131,12.933333396911621,73.904754638671875,159.35716247558594,34.400001525878906,16.899999618530273,17.500001907348633,26.850000381469727,25.33333396911621
Icterus auratus,-89.64908,20.307505,6,2013,956224361,"c(-89.64908, 20.307505)",62,25.40833282470703,27.633333206176758,22.5,1083,204,23,71.8291015625,521,84,283,84,14.566666603088379,66.51445770263672,211.93731689453125,36.400001525878906,14.5,21.900001525878906,26.733333587646484,22.5
Icterus auratus,-87.96446,19.687845,2,2013,940909476,"c(-87.96446, 19.687845)",17,26.02916717529297,27.766666412353516,23.683334350585938,1251,209,39,54.73650360107422,525,132,438,159,11.375,70.21604919433594,171.86752319335938,33.70000076293945,17.5,16.200000762939453,27.183334350585938,25.116666793823242
Icterus auratus,-88.20747,20.756205,2,2013,940901116,"c(-88.20747, 20.756205)",25,25.808332443237305,27.75,23.316667556762695,1188,196,32,63.13333511352539,533,110,429,116,14.033333778381348,71.59864044189453,183.61065673828125,35.29999923706055,15.699999809265137,19.599998474121094,27.33333396911621,23.899999618530273
Icterus auratus,-89.88989,18.476118,1,2013,936817329,"c(-89.88989, 18.476118)",163,25.72916603088379,27.850000381469727,22.933332443237305,1056,214,25,67.21966552734375,488,80,251,111,13.441667556762695,67.88720703125,206.30364990234375,35.70000076293945,15.899999618530273,19.80000114440918,26.566667556762695,25.366666793823242
Icterus auratus,-87.89337,21.550047,11,2012,935983670,"c(-87.89337, 21.550047)",4,25.629165649414063,27.5,23.08333396911621,782,129,25,53.93209457397461,322,85,279,114,11.591666221618652,71.55350494384766,184.48277282714844,33.29999923706055,17.100000381469727,16.19999885559082,26.96666717529297,24.616666793823242
Icterus auratus,-88.572078,20.772518,11,1945,896276914,"c(-88.572078, 20.772518)",30,25.77916717529297,27.75,23.183334350585938,1236,207,31,64.984893798828125,569,108,444,124,13.958333969116211,69.79167175292969,189.04615783691406,35.599998474121094,15.600000381469727,19.999998092651367,27.200000762939453,23.866666793823242
Icterus auratus,-88.96656,20.63856,3,1925,863440387,"c(-88.96656, 20.63856)",27,25.71666717529297,27.733333587646484,23.03333282470703,1101,192,25,65.70489501953125,510,90,390,113,13.883333206176758,68.39080047607422,195.347412109375,35.900001525878906,15.600000381469727,20.30000114440918,27.049999237060547,23.83333396911621
Icterus auratus,-89.42444,21.324236,12,2012,832695289,"c(-89.42444, 21.324236)",3,25.870834350585938,27.75,23.149999618530273,717,135,18,64.29961395263672,313,68,235,92,10.924999237060547,67.43827056884766,192.5245819091797,33.79999923706055,17.600000381469727,16.19999885559082,27.03333282470703,25.08333396911621
Icterus auratus,-87.016174,20.381155,3,2011,829704375,"c(-87.016174, 20.381155)",11,26.22916603088379,28.133333206176758,23.899999618530273,1412,238,33,52.716270446777344,582,145,417,242,8.408332824707031,63.69948959350586,174.59640502929688,32.400001525878906,19.200000762939453,13.200000762939453,27.433334350585938,25.149999618530273
Icterus auratus,-89.00009,19.985207,10,2005,829381853,"c(-89.00009, 19.985207)",42,25.78333282470703,27.833332061767578,23.03333282470703,1178,206,28,63.37984085083008,524,100,414,109,14.966667175292969,68.97081756591797,200.1060333251953,36.599998474121094,14.899999618530273,21.69999885559082,27.200000762939453,23.83333396911621
Icterus auratus,-87.7375,20.165545,3,2011,590095524,"c(-87.7375, 20.165545)",24,25.64583396911621,27.399999618530273,23.299999237060547,1173,188,39,54.495906829833984,498,128,400,154,11.841666221618652,71.33534240722656,171.54983520507813,33.29999923706055,16.700000762939453,16.599998474121094,26.816665649414063,24.71666717529297
Icterus auratus,-89.63749,18.50008,12,2011,589954101,"c(-89.63749, 18.50008)",212,25.329166412353516,27.299999237060547,22.666667938232422,1045,200,23,64.62077331542969,473,76,339,116,13.42500114440918,69.55958557128906,195.20919799804688,35,15.699999809265137,19.299999237060547,26.16666603088379,25.016666412353516
Icterus auratus,-89.49188,18.827623,2,2009,588192439,"c(-89.49188, 18.827623)",285,24.59583282470703,26.5,21.950000762939453,969,173,18,62.229496002197266,419,73,328,113,13.058333396911621,69.09172058105469,192.08729553222656,34.099998474121094,15.199999809265137,18.89999771118164,25.483333587646484,24.25
