species,decimalLongitude,decimalLatitude
Icterus auratus,-87.86916,18.138283
Icterus auratus,-90.29965,20.98952
Icterus auratus,-88.54706,19.171112
Icterus auratus,-89.64908,20.307505
Icterus auratus,-87.96446,19.687845
Icterus auratus,-88.20747,20.756205
Icterus auratus,-89.88989,18.476118
Icterus auratus,-87.89337,21.550047
Icterus auratus,-88.572078,20.772518
Icterus auratus,-88.96656,20.63856
Icterus auratus,-89.42444,21.324236
Icterus auratus,-87.016174,20.381155
Icterus auratus,-89.00009,19.985207
Icterus auratus,-87.7375,20.165545
Icterus auratus,-89.63749,18.50008
Icterus auratus,-89.49188,18.827623
Icterus auratus,-91.91162,18.051283
Icterus auratus,-89.499535,21.079304
Icterus auratus,-89.460266,20.631283
Icterus auratus,-88.16952,21.19344
Icterus auratus,-90.20475,18.158493
Icterus auratus,-86.82083,21.280256
Icterus auratus,-86.88237,21.06947
Icterus auratus,-90.37575,19.722431
Icterus auratus,-89.72453,20.116982
Icterus auratus,-89.552475,21.306982
Icterus auratus,-89.689766,20.982492
Icterus auratus,-89.30374,18.610947
Icterus auratus,-87.81492,19.72106
Icterus auratus,-90.05357,21.15745
Icterus auratus,-89.58721,20.381119
Icterus auratus,-88.30458,19.926323
Icterus auratus,-87.877495,21.402264
Icterus auratus,-89.77306,20.673498
Icterus auratus,-88.739876,21.305706
Icterus auratus,-90.22086,19.762177
Icterus auratus,-87.77248,19.921793
Icterus auratus,-88.33453,20.310635
Icterus auratus,-88.23345,19.001797
Icterus auratus,-87.58355,20.721111
Icterus auratus,-88.03,20.418648
Icterus auratus,-90.51413,19.753605
Icterus auratus,-88.73353,19.793922
Icterus auratus,-87.63313,19.870533
Icterus auratus,-87.33918,21.559175
Icterus auratus,-87.13098,21.227861
Icterus auratus,-89.6995,21.169056
Icterus auratus,-90.41526,20.626057
Icterus auratus,-89.93975,20.942171
Icterus auratus,-89.29449,21.339983
Icterus auratus,-87.12879,20.93675
Icterus auratus,-90.63848,19.191269
Icterus auratus,-87.67454,21.1223
Icterus auratus,-89.293564,21.14849
Icterus auratus,-87.46343,21.12443
Icterus auratus,-86.83216,20.98665
Icterus auratus,-87.215996,20.616772
Icterus auratus,-88.47706,18.499718
Icterus auratus,-87.20631,20.84551
Icterus auratus,-90.13568,20.86555
Icterus auratus,-89.48922,20.538708
Icterus auratus,-87.57482,20.345404
Icterus auratus,-88.56188,19.390064
Icterus auratus,-89.48484,18.517132
Icterus auratus,-88.32094,21.348877
Icterus auratus,-88.63452,21.368711
Icterus auratus,-90.104706,20.239384
Icterus auratus,-89.59819,19.772701
Icterus auratus,-88.27765,18.51055
Icterus auratus,-89.8105,19.87197
Icterus auratus,-87.75977,21.43489
Icterus auratus,-89.02544,20.810747
Icterus auratus,-88.43552,20.793173
Icterus auratus,-87.06481,20.777596
Icterus auratus,-87.57079,21.164263
Icterus auratus,-90.220024,20.366755
Icterus auratus,-89.17713,20.857388
Icterus auratus,-89.06989,18.11049
Icterus auratus,-87.49018,20.814186
Icterus auratus,-89.52755,20.897573
Icterus auratus,-89.78773,20.410702
Icterus auratus,-87.133965,20.687328
Icterus auratus,-87.6309,18.976353
Icterus auratus,-88.130875,21.47455
Icterus auratus,-89.89499,20.67082
Icterus auratus,-87.770935,18.601515
Icterus auratus,-87.8465,21.1173
Icterus auratus,-88.09009,20.967875
Icterus auratus,-89.41699,18.588762
Icterus auratus,-90.23063,19.59715
Icterus auratus,-87.995255,20.658453
Icterus auratus,-88.478096,18.229753
Icterus auratus,-90.09912,20.742002
Icterus auratus,-88.81352,20.799849
Icterus auratus,-89.97602,21.10288
Icterus auratus,-87.88788,18.771114
Icterus auratus,-87.61745,20.076187
Icterus auratus,-87.73706,18.707281
Icterus auratus,-88.17311,20.56638
Icterus auratus,-89.71183,20.594984
Icterus auratus,-92.24068,18.629314
Icterus auratus,-90.22571,19.96524
Icterus auratus,-90.747185,19.320875
Icterus auratus,-87.41551,21.346544
Icterus auratus,-88.234215,21.413143
Icterus auratus,-89.60674,20.581915
Icterus auratus,-88.45848,20.671953
Icterus auratus,-87.22299,20.50596
Icterus auratus,-89.03126,21.28115
Icterus auratus,-90.41323,20.088066
Icterus auratus,-87.64328,21.456984
Icterus auratus,-88.001305,21.138948
Icterus auratus,-88.29868,20.996502
Icterus auratus,-89.300285,20.947367
Icterus auratus,-89.81081,21.026741
Icterus auratus,-88.16082,21.097563
Icterus auratus,-87.0536,21.009432
Icterus auratus,-87.203125,21.00894
Icterus auratus,-89.62673,20.74436
Icterus auratus,-90.868095,18.615746
Icterus auratus,-87.74599,20.800493
Icterus auratus,-88.468765,21.173319
Icterus auratus,-87.662224,20.594604
Icterus auratus,-89.80561,18.109438
Icterus auratus,-89.48223,19.976543
Icterus auratus,-87.49723,20.290648
Icterus auratus,-90.36129,19.921185
Icterus auratus,-90.39653,19.407722
Icterus auratus,-89.25293,18.16249
Icterus auratus,-89.63881,20.870136
Icterus auratus,-88.75811,19.276339
Icterus auratus,-87.85459,18.89773
Icterus auratus,-90.653725,18.77956
Icterus auratus,-88.25146,21.508018
Icterus auratus,-89.42621,20.905586
Icterus auratus,-88.284325,21.244473
Icterus auratus,-90.07643,18.175377
Icterus auratus,-89.31491,19.234524
Icterus auratus,-87.70684,21.2258
Icterus auratus,-89.26923,21.05237
Icterus auratus,-86.96902,20.475193
Icterus auratus,-89.86775,20.758156
Icterus auratus,-88.23861,18.720093
Icterus auratus,-89.83825,21.248886
Icterus auratus,-88.23001,18.593857
Icterus auratus,-87.99914,21.400265
Icterus auratus,-88.056435,21.59329
Icterus auratus,-89.717575,21.079395
Icterus auratus,-88.16584,18.925327
Icterus auratus,-88.307625,21.109913
Icterus auratus,-87.32119,21.407642
Icterus auratus,-86.94963,20.768934
Icterus auratus,-87.58147,19.081087
Icterus auratus,-88.9178,19.85503
Icterus auratus,-88.86095,19.927872
Icterus auratus,-87.609,21.361
Icterus auratus,-89.88198,20.485258
Icterus auratus,-87.951164,20.799763
Icterus auratus,-89.74153,20.789938
Icterus auratus,-89.58871,20.488605
Icterus auratus,-87.4427,20.185734
Icterus auratus,-88.65388,20.59693
Icterus auratus,-89.01852,20.935822
Icterus auratus,-90.319786,19.026741
Icterus auratus,-88.395966,18.095745
Icterus auratus,-88.34524,20.541348
Icterus auratus,-90.27192,18.63451
Icterus auratus,-88.22438,17.513975
Icterus auratus,-86.9408,20.937183
Icterus auratus,-89.545441,20.085599
Icterus auratus,-87.593704,19.779928
Icterus auratus,-86.895256,20.537281
Icterus auratus,-89.8684,20.091715
Icterus auratus,-88.5806,21.1147
Icterus auratus,-88.413475,21.374722
Icterus auratus,-89.024734,18.314789
Icterus auratus,-87.433304,21.210438
Icterus auratus,-88.59361,19.497042
Icterus auratus,-87.73745,21.525213
Icterus auratus,-88.19902,18.209017
Icterus auratus,-88.15812,21.599075
Icterus auratus,-88.04199,19.486948
Icterus auratus,-87.393036,20.457613
Icterus auratus,-86.945076,21.255795
Icterus auratus,-88.47099,18.403303
Icterus auratus,-87.75384,21.34191
Icterus auratus,-88.76739,18.660864
Icterus auratus,-89.16951,21.34901
Icterus auratus,-88.22303,20.464573
Icterus auratus,-90.08282,20.59659
Icterus auratus,-88.73074,20.706907
Icterus auratus,-87.349174,21.274958
Icterus auratus,-87.526825,20.897635
Icterus auratus,-89.40552,18.301607
Icterus auratus,-92.09102,18.25438
Icterus auratus,-90.47684,19.873909
Icterus auratus,-87.55206,20.172508
Icterus auratus,-90.21302,20.681189
Icterus auratus,-88.775604,19.878832
Icterus auratus,-90.449234,19.509584
Icterus auratus,-88.0301,19.583
Icterus auratus,-89.794075,20.294176
Icterus auratus,-88.46017,19.362133
Icterus auratus,-89.10429,18.44705
Icterus auratus,-88.147835,21.356417
Icterus auratus,-90.69931,19.528841
Icterus auratus,-88.93462,19.629251
Icterus auratus,-90.43779,19.639183
Icterus auratus,-89.29372,18.805412
Icterus auratus,-88.083305,19.72291
Icterus auratus,-90.365,19.818333
Icterus auratus,-87.775192,19.352836
Icterus auratus,-87.91155,18.007843
Icterus auratus,-87.47884,20.07021
Icterus auratus,-88.400024,19.502224
Icterus auratus,-89.595345,21.150202
Icterus auratus,-89.5791,20.99694
Icterus auratus,-89.18332,21.231054
Icterus auratus,-88.25693,20.23723
Icterus auratus,-90.61945,19.791609
Icterus auratus,-89.853546,18.310452
Icterus auratus,-90.37666,20.53573
Icterus auratus,-89.830025,19.741692
Icterus auratus,-87.34814,21.018095
Icterus auratus,-87.921745,20.893639
Icterus auratus,-87.1746,21.11125
Icterus auratus,-88.10877,19.022047
Icterus auratus,-86.793175,21.14801
Icterus auratus,-88.166145,20.054943
Icterus auratus,-87.3233,20.918785
Icterus auratus,-87.81211,20.003881
Icterus auratus,-90.191925,20.142101
Icterus auratus,-88.262665,19.4504
Icterus auratus,-89.08775,20.032965
Icterus auratus,-88.46346,18.749603
Icterus auratus,-90.03492,20.327618
Icterus auratus,-89.33672,17.969114
Icterus auratus,-89.39871,21.110983
Icterus auratus,-92.09307,18.112595
Icterus auratus,-86.97528,21.099756
Icterus auratus,-88.536476,19.301214
Icterus auratus,-89.16429,18.821655
Icterus auratus,-92.506816,18.063721
Icterus auratus,-91.093056,19.021944
Icterus auratus,-91.833056,18.264418
Icterus auratus,-91.21731,18.97426
Icterus auratus,-92.490706,18.57994
Icterus auratus,-88.10625,19.135386
Icterus auratus,-89.3425,20.537613
Icterus auratus,-87.74666,20.524548
Icterus auratus,-89.19911,20.759348
Icterus auratus,-87.475174,20.981451
Icterus auratus,-87.856316,18.271118
Icterus auratus,-89.39726,18.055655
Icterus auratus,-87.33946,20.802979
Icterus auratus,-90.51091,18.785114
Icterus auratus,-89.01611,20.1725
Icterus auratus,-88.275986,20.654852
Icterus auratus,-88.410126,18.331074
Icterus auratus,-89.33082,18.498377
Icterus auratus,-90.11196,19.997988
Icterus auratus,-88.322266,20.872786
Icterus auratus,-90.318344,20.171278
Icterus auratus,-88.05996,19.39006
Icterus auratus,-88.14303,18.349533
Icterus auratus,-88.868645,21.39302
Icterus auratus,-88.15437,20.87356
Icterus auratus,-89.94524,18.556309
Icterus auratus,-88.48918,18.916744
Icterus auratus,-89.7709,19.408876
Icterus auratus,-89.416904,20.792959
Icterus auratus,-87.02648,20.686094
Icterus auratus,-90.02739,20.43582
Icterus auratus,-88.78146,19.030615
Icterus auratus,-88.76465,21.005556
Icterus auratus,-89.294136,19.781113
Icterus auratus,-90.1944,20.782185
Icterus auratus,-90.39783,20.852716
Icterus auratus,-89.85718,19.58308
Icterus auratus,-90.44117,20.202923
Icterus auratus,-89.672455,21.28132
Icterus auratus,-89.642944,20.1707
Icterus auratus,-88.90137,20.853678
Icterus auratus,-88.15393,19.812735
Icterus auratus,-90.71201,18.962265
Icterus auratus,-89.26287,20.591452
Icterus auratus,-89.213806,19.8841
Icterus auratus,-90.69647,19.664349
Icterus auratus,-88.83263,20.550188
Icterus auratus,-88.51248,18.3225
Icterus auratus,-88.116234,20.700167
Icterus auratus,-87.92615,20.099688
Icterus auratus,-89.43369,18.410717
Icterus auratus,-87.66959,18.783665
Icterus auratus,-90.1208,20.393688
Icterus auratus,-89.28844,20.204992
Icterus auratus,-88.40921,18.649689
Icterus auratus,-87.22032,21.415016
Icterus auratus,-86.73098,21.231533
Icterus auratus,-88.93382,21.311451
Icterus auratus,-88.0551,20.834242
Icterus auratus,-88.8619,21.046059
Icterus auratus,-88.35891,18.005749
Icterus auratus,-89.966667,19.716667
Icterus auratus,-89.106667,21.011667
Icterus auratus,-88.773315,20.621794
Icterus auratus,-88.25,19.716667
Icterus auratus,-86.93425,20.312914
Icterus auratus,-89.48978,21.2318
Icterus auratus,-89.54444,20.251389
Icterus auratus,-90.26044,20.853539
Icterus auratus,-88.754745,19.63478
Icterus auratus,-88.63577,21.254343
Icterus auratus,-89.71494,20.469255
Icterus auratus,-89.045044,20.583284
Icterus auratus,-88.379395,18.529161
Icterus auratus,-87.747734,19.789307
Icterus auratus,-88.24477,18.30188
Icterus auratus,-87.96115,17.923979
Icterus auratus,-90.14028,18.60774
Icterus auratus,-90.78959,18.442036
Icterus auratus,-89.95346,20.5624
Icterus auratus,-89.94664,21.197931
Icterus auratus,-87.61656,21.266535
Icterus auratus,-89.135574,21.14144
Icterus auratus,-89.79083,20.877726
Icterus auratus,-88.07833,19.875566
Icterus auratus,-88.505005,20.572542
Icterus auratus,-88.26059,18.088333
Icterus auratus,-89.07745,19.546585
Icterus auratus,-90.24578,20.488922
Icterus auratus,-87.011826,20.86028
Icterus auratus,-87.366585,20.32
Icterus auratus,-88.37376,18.246223
Icterus auratus,-88.33991,20.162416
Icterus auratus,-88.33407,18.772253
Icterus auratus,-88.20321,19.156773
Icterus auratus,-89.296715,20.746513
Icterus auratus,-87.10284,21.406637
Icterus auratus,-88.53329,20.0372
Icterus auratus,-89.554634,18.616674
Icterus auratus,-88.61478,20.899195
Icterus auratus,-90.100116,18.434014
Icterus auratus,-92.6313406,18.2798594
