fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,5147155015,Sceloporus formosus,17.235833,-96.636944,2,1976,13.5,10.23333,66.45022,149.54475,21.4,6,15.4,14.11667,12.78333,15.38333,11.55,868,165,10,83.53232,447,35,256,74,2434
2,5147486424,Sceloporus formosus,18.565833,-97.233333,7,1977,10.70833,12.1,69.94219,138.20001,19.7,2.4,17.3,11.3,9.78333,12.41667,8.95,877,165,14,84.4941,466,48,264,63,2754
3,5147036779,Sceloporus formosus,17.239444,-96.639167,11,1974,13.5,10.23333,66.45022,149.54475,21.4,6,15.4,14.11667,12.78333,15.38333,11.55,868,165,10,83.53232,447,35,256,74,2434
4,5147279312,Sceloporus formosus,17.527222,-97.269167,7,1976,16.9125,15.19167,68.12406,158.17319,27.7,5.4,22.3,17.75,14.91667,18.81667,14.86667,578,126,3,91.04479,310,13,217,19,2122
5,5147410420,Sceloporus formosus,18.678056,-97.333333,7,1977,11.8375,12.94167,68.47443,163.6949,21.6,2.7,18.9,12.68333,10.61667,13.76667,9.71667,595,116,11,79.1289,298,39,202,45,2441
6,5147280307,Sceloporus formosus,17.22,-96.654722,7,1976,11.50417,9.70833,69.34524,125.72441,18.9,4.9,14,11.91667,10.98333,13.13333,9.91667,965,183,10,83.45438,490,38,311,65,2900
7,5147280308,Sceloporus formosus,17.191667,-96.592778,7,1976,13.30417,9.99167,67.05816,144.87392,21,6.1,14.9,13.88333,12.63333,15.13333,11.41667,894,168,11,82.80674,456,36,263,77,2497
8,5147280969,Sceloporus formosus,17.621389,-99.838056,9,1973,17.8,12.1,71.17647,117.43471,26.5,9.5,17,18.13333,18.13333,19.21667,16.26667,1355,273,8,98.57043,788,36,345,47,2360
9,5147022731,Sceloporus formosus,17.433611,-99.323333,12,1972,22.56667,13.28333,72.19203,133.47342,31.8,13.4,18.4,22.93333,21.58333,24.21667,20.83333,1037,227,3,107.70946,659,16,247,19,1516
10,5147040418,Sceloporus formosus,17.358333,-96.521389,7,1977,15.75417,11.60833,64.85103,158.4507,25.4,7.5,17.9,15.6,15.26667,17.88333,13.91667,1035,190,11,83.11719,529,42,106,100,2265
