fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,476674517,Sceloporus gadoviae,17.0607382,-96.7300392,10,1894,21.775,16.15,71.77777,150.21956,32.4,9.9,22.5,22.6,19.78333,23.46667,19.78333,649,141,3,94.74286,347,12,242,12,1559
2,476763401,Sceloporus gadoviae,19.2206183,-102.0501714,7,1970,23.35417,16.15833,67.89216,170.61998,35.2,11.4,23.8,23.81667,23.08333,25.53333,21.15,859,209,4,113.27327,562,12,184,27,831
3,3759803307,Sceloporus gadoviae,18.18433,-97.083461,3,2017,24.17083,18.725,71.46946,227.71054,37.2,11,26.2,24.81667,22.5,26.96667,21.23333,789,148,11,89.37802,432,39,222,41,1021
4,4102630511,Sceloporus gadoviae,18.954252,-101.888526,3,2023,25.5875,15.675,69.35841,155.84268,36.9,14.3,22.6,25.88333,25.46667,27.65,23.63333,741,177,2,113.51537,492,8,147,24,319
5,3747185289,Sceloporus gadoviae,18.329232,-97.474676,12,2021,21.65833,15.86667,68.09728,216.34183,33.1,9.8,23.3,22.95,20,24.16667,18.76667,437,105,2,101.15835,230,13,162,13,1480
6,3068039897,Sceloporus gadoviae,18.0219,-98.900672,2,2013,26.11667,16.33333,69.50355,170.33835,37.6,14.1,23.5,26.71667,25.11667,28.38333,24.11667,941,206,3,109.24702,581,15,276,23,667
7,1802614900,Sceloporus gadoviae,17.8719,-96.990352,9,2016,25.59583,15.14167,63.35426,245.99017,37.6,13.7,23.9,26.96667,23.63333,28.61667,22.38333,594,124,5,99.80419,348,19,169,20,628
8,4596754746,Sceloporus gadoviae,17.790495,-96.943709,4,2022,24.67917,15.075,64.14893,241.19455,36.5,13,23.5,25.96667,22.88333,27.65,21.56667,748,149,10,91.83926,415,33,210,33,804
9,1802645548,Sceloporus gadoviae,18.200016,-97.269795,11,2017,24.175,18.13333,70.01287,238.57054,36.8,10.9,25.9,25.56667,21,26.96667,21,332,74,2,99.66264,185,9,115,9,1113
10,4145494383,Sceloporus gadoviae,17.865235,-97.029416,10,2018,25.60417,15.425,64.27083,243.53886,37.7,13.7,24,26.98333,23.68333,28.58333,22.43333,555,114,4,99.46937,324,17,162,17,680
11,4145526386,Sceloporus gadoviae,17.864924,-97.030328,10,2018,25.60417,15.425,64.27083,243.53886,37.7,13.7,24,26.98333,23.68333,28.58333,22.43333,555,114,4,99.46937,324,17,162,17,680
12,1802622302,Sceloporus gadoviae,18.567585,-99.092764,6,2017,25.00833,17.45,67.37451,210.1064,37.4,11.5,25.9,25.91667,22.48333,27.7,22.36667,912,192,2,109.14009,564,14,264,23,896
