fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,5147040971,Sceloporus licki,23.551944,-109.786667,6,1976,20.74583,13.20833,57.17893,401.12036,31.9,8.8,23.1,25.7,19.25,25.7,15.96667,502,183,1,136.99051,379,4,379,45,665
2,5146985791,Sceloporus licki,23.566667,-110,12,1928,16.94167,13.06667,60.21505,354.06622,27.5,5.8,21.7,21.25,15.75,21.25,12.68333,642,198,2,123.93998,469,10,469,71,1376
3,5147401022,Sceloporus licki,24.566667,-110.4,5,1978,21.99583,13.49167,55.06803,440.34314,34.3,9.8,24.5,27.56667,22.35,27.56667,16.85,239,79,0,129.32423,172,0,172,35,142
4,5147160020,Sceloporus licki,24.5,-110.35,5,1978,21.4625,14.39167,57.10979,439.64926,34.1,8.9,25.2,27.01667,21.96667,27.01667,16.28333,318,102,0,128.19501,231,2,231,43,469
5,5147171218,Sceloporus licki,23.469444,-110.2175,10,1983,22.70417,14.49167,59.14966,413.41953,34.5,10,24.5,28.18333,22.36667,28.18333,18.15,191,58,1,115.2181,125,4,125,22,70
6,5147404671,Sceloporus licki,23.738611,-109.838611,4,1982,21.79167,14.41667,56.98288,448.24826,34.1,8.8,25.3,27.31667,20.3,27.31667,16.36667,375,149,0,141.73274,282,3,282,34,406
7,5147014367,Sceloporus licki,23.738333,-109.817222,3,1960,22.05417,14.175,56.02766,452.32458,34.4,9.1,25.3,27.63333,20.5,27.63333,16.6,364,143,0,139.97202,271,3,271,34,354
8,5147483269,Sceloporus licki,23.633333,-109.868056,6,1976,19.55833,13.66667,58.90805,392.84991,30.8,7.6,23.2,24.31667,18.33333,24.31667,14.78333,539,186,1,132.93359,404,5,404,52,876
9,5147486970,Sceloporus licki,23.480833,-109.931111,6,1976,16.64167,13.11667,61.29284,340.09247,26.9,5.5,21.4,20.81667,15.4,20.81667,12.61667,681,206,2,121.89189,493,11,493,76,1462
10,476756907,Sceloporus licki,23.51696,-110.20039,8,1969,22.39583,14.85833,60.1552,410.32944,34.3,9.6,24.7,27.81667,22.25,27.81667,17.78333,236,75,1,125.49024,167,3,167,38,184
11,476624900,Sceloporus licki,23.5170623,-110.2003787,8,1969,22.39583,14.85833,60.1552,410.32944,34.3,9.6,24.7,27.81667,22.25,27.81667,17.78333,236,75,1,125.49024,167,3,167,38,184
12,4516570145,Sceloporus licki,23.385401,-109.818796,12,2023,21.62917,12.575,54.67391,422.95206,32.8,9.8,23,26.8,20.16667,26.8,16.55,425,159,1,138.99413,319,3,319,39,353
13,5087849478,Sceloporus licki,23.54508,-110.010217,3,2025,16.41667,13.11667,62.1643,327.21506,26.6,5.5,21.1,20.43333,15.18333,20.43333,12.55,704,207,2,119.81526,506,12,506,83,1622
