fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
1,5147207776,Sceloporus megalepidurus,19.56517,-97.49014,9,2012,13.37083,16.20833,70.47102,183.77924,24,1,23,14.8,10.83333,15.33333,10.83333,493,88,7,70.08498,215,27,179,27,2564
2,5147089776,Sceloporus megalepidurus,19.25735,-97.47573,6,2011,13,16.75,71.88841,174.48625,23.6,0.3,23.3,14.23333,10.78333,14.88333,10.58333,526,101,6,76.83673,253,26,203,26,2534
3,5147507770,Sceloporus megalepidurus,19.25633,-97.47491,9,2012,12.82917,16.54167,71.92029,169.44373,23.3,0.3,23,14.01667,10.48333,14.66667,10.48333,554,106,7,76.80986,268,27,209,27,2577
4,5147456770,Sceloporus megalepidurus,19.25805,-97.47635,9,2012,13,16.75,71.88841,174.48625,23.6,0.3,23.3,14.23333,10.78333,14.88333,10.58333,526,101,6,76.83673,253,26,203,26,2534
5,5147326769,Sceloporus megalepidurus,19.25415,-97.47534,6,2011,13,16.75,71.88841,174.48625,23.6,0.3,23.3,14.23333,10.78333,14.88333,10.58333,526,101,6,76.83673,253,26,203,26,2534
6,5147326770,Sceloporus megalepidurus,19.40429,-97.89561,6,2011,13.52917,17.20833,72.0014,169.51077,24.5,0.6,23.9,14.75,11.18333,15.38333,11.18333,629,124,6,81.68949,327,22,243,22,2571
7,5147087771,Sceloporus megalepidurus,19.25726,-97.4756,6,2011,13,16.75,71.88841,174.48625,23.6,0.3,23.3,14.23333,10.78333,14.88333,10.58333,526,101,6,76.83673,253,26,203,26,2534
8,5147433774,Sceloporus megalepidurus,19.4402,-97.88258,6,2011,12.84583,16.19167,71.96296,160.3754,23.2,0.7,22.5,13.96667,10.61667,14.58333,10.61667,663,131,7,81.5918,345,24,249,24,2695
9,5147209773,Sceloporus megalepidurus,19.58,-97.38717,9,2012,13.85,16.21667,70.20202,191.53685,24.4,1.3,23.1,15.38333,11.18333,15.78333,11.18333,516,94,7,75.01565,233,28,182,28,2452
10,476734923,Sceloporus megalepidurus,19.1506355,-97.6400673,9,1971,13.62917,17.375,70.34413,203.28505,24.9,0.2,24.7,15.15,10.83333,15.83333,10.83333,526,103,5,78.38683,249,24,215,24,2363
11,476766417,Sceloporus megalepidurus,19.0106413,-97.9100733,8,1968,15.33333,18.21667,72.00263,185.56221,27.1,1.8,25.3,16.68333,12.76667,17.4,12.76667,685,147,5,86.87609,344,24,269,24,2271
12,476734922,Sceloporus megalepidurus,19.1106376,-97.5600653,9,1971,13.08333,17.58333,71.47697,181.27493,24.3,-0.3,24.6,14.31667,10.58333,15.1,10.58333,558,108,5,77.94128,265,25,222,25,2435
13,476684928,Sceloporus megalepidurus,18.4626088,-97.3928392,8,1935,20.325,15.36667,66.81159,220.09811,31.6,8.6,23,21.31667,17.38333,22.85,17.38333,624,131,6,88.3923,305,27,210,27,1641
14,476690989,Sceloporus megalepidurus,19.5606182,-97.0100537,9,1940,14.92917,10.69167,62.52437,192.44196,22.9,5.8,17.1,16.25,14.43333,16.86667,12.26667,1345,252,41,61.83858,596,141,313,168,1962
15,476735026,Sceloporus megalepidurus,19.6944964,-98.8767685,9,1971,15.70417,17.625,69.66403,189.22639,27.6,2.3,25.3,16.98333,13.16667,17.88333,13.16667,511,96,4,85.94791,282,18,161,18,2328
16,476761290,Sceloporus megalepidurus,19.3406274,-97.390062,7,1968,14.225,17.51667,70.63172,194.1122,25.6,0.8,24.8,16.15,11.78333,16.26667,11.56667,456,87,5,74.45135,209,24,175,24,2357
17,476729685,Sceloporus megalepidurus,16.5086,-94.3119,9,1973,27.46667,13.05,71.7033,123.90121,36.3,18.1,18.2,27.85,25.88333,28.98333,25.88333,1412,359,4,108.73567,842,16,418,16,110
18,476487005,Sceloporus megalepidurus,19.1406358,-97.710069,8,1968,13.45833,16.81667,70.06944,205.53516,24.4,0.4,24,15.03333,10.81667,15.66667,10.63333,567,113,6,79.34,272,26,230,26,2369
19,3307293966,Sceloporus megalepidurus,19.52505,-97.935772,6,2021,12.05417,14.675,70.55289,158.30721,21.9,1.1,20.8,13.08333,9.88333,13.81667,9.88333,816,151,10,81.1947,419,34,273,34,2878
20,3698269302,Sceloporus megalepidurus,19.551702,-97.492805,5,2015,13.53333,16.33333,69.80058,188.82813,24.3,0.9,23.4,15,10.93333,15.53333,10.93333,482,87,7,69.65146,209,27,177,27,2516
21,3455764874,Sceloporus megalepidurus,19.605131,-97.376945,7,2021,13.49583,15.84167,71.35886,172.2374,23.7,1.5,22.2,14.61667,11.1,15.26667,11.1,575,104,10,71.80446,258,36,191,36,2543
22,3068002355,Sceloporus megalepidurus,19.470023,-98.080273,7,2017,13.36667,16.38333,69.42091,187.81439,24.4,0.8,23.6,14.66667,10.76667,15.4,10.76667,741,135,7,83.70603,392,25,255,25,2575
23,3067628395,Sceloporus megalepidurus,19.467166,-98.092671,5,2018,13.16667,16.2,69.52789,179.68828,24.1,0.8,23.3,14.36667,10.68333,15.13333,10.68333,771,140,8,84.3105,408,26,262,26,2635
24,3457168706,Sceloporus megalepidurus,19.655917,-98.221692,11,2021,12.42083,15.125,70.67757,162.79459,22.3,0.9,21.4,13.56667,10.18333,14.18333,10.18333,827,143,12,81.23073,423,38,261,38,2764
25,1802663032,Sceloporus megalepidurus,19.723108,-97.855304,10,2017,11.65,13.03333,69.69697,150.42365,20.5,1.8,18.7,12.7,9.58333,13.28333,9.58333,884,154,16,77.00461,430,50,266,50,2902
